task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;cpu08;4a/df6bc8;nf-4adf6bc8bda2a2ef1c3e6973fa92ae41;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709460627212;1709460635000;1709460635000;7788;113;-;65.8;0.0;2998272;4071424;2998272;4079616;3478181;2625320;642;204;0;913408;2;3;/data/work/4a/df6bc8bda2a2ef1c3e6973fa92ae41;-;-
2;cpu08;aa/3e1e3a;nf-aa3e1e3ac20afcaee6ea26a9eef02f5c;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709460627268;1709460634000;1709460635000;7732;41;-;62.3;0.0;3018752;4071424;3018752;4079616;98277;1737;261;18;0;12288;2;0;/data/work/aa/3e1e3ac20afcaee6ea26a9eef02f5c;-;-
4;cpu08;05/cac43b;nf-05cac43b5000f220ac57dce7ee0a48ad;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709460627311;1709460635000;1709460635000;7689;72;-;37.9;0.0;3145728;4071424;3145728;4079616;108388;205240;261;24;0;212992;2;2;/data/work/05/cac43b5000f220ac57dce7ee0a48ad;-;-
1;cpu08;87/58f5c4;nf-8758f5c4c4801cb36f8f530eab6bc44d;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709460627348;1709460635000;1709460636000;8652;1000;-;8.7;0.0;3219456;5632000;3219456;5636096;709343;1446;280;18;0;12288;2;0;/data/work/87/58f5c4c4801cb36f8f530eab6bc44d;-;-
5;cpu08;d3/8b36cf;nf-d38b36cfd738ba9850291696d24ab33a;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA;gfp.fa;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709460639155;1709460645000;1709460645000;5845;0;-;69.7;0.0;3194880;5632000;3194880;5636096;1290259;440012;322;26;0;454656;2;3;/data/work/d3/8b36cfd738ba9850291696d24ab33a;-;-
12;cpu10;cd/0839f1;nf-cd0839f1ca820ec1e71131c6f60d94a3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample12);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709460639453;1709460641000;1709460645000;5547;3000;-;221.2;0.2;292282368;4640055296;297443328;4669079552;26128080;3754687;22251;11291;0;4128768;10;6;/data/work/cd/0839f1ca820ec1e71131c6f60d94a3;-;-
13;cpu10;ba/77d949;nf-ba77d9496b2165a5211d067c0f7e3175;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample2);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709460639491;1709460641000;1709460646000;6509;4000;-;211.3;0.2;277970944;4640055296;279318528;4666916864;26146608;3747220;22341;11378;0;4136960;10;10;/data/work/ba/77d9496b2165a5211d067c0f7e3175;-;-
14;cpu10;ff/85a7aa;nf-ff85a7aab3e2e61e0fb33f26500ca1ab;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample3);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709460639525;1709460641000;1709460644000;4475;2000;-;221.8;0.2;251531264;4571893760;252071936;4598759424;22929067;1872553;14885;5685;0;2109440;8;5;/data/work/ff/85a7aab3e2e61e0fb33f26500ca1ab;-;-
10;cpu09;a7/8c7809;nf-a78c780981d6b19f22795bc5fd82df2b;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample10);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1709460639591;1709460642000;1709460645000;5409;3000;-;210.3;0.1;187428864;4565426176;187428864;4601122816;93579787;67621600;17820;8108;0;4427776;85;21;/data/work/a7/8c780981d6b19f22795bc5fd82df2b;-;-
7;cpu08;9f/50a46d;nf-9f50a46dab38d0e6f52fdce4bcf26db2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample10);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709460639248;1709460645000;1709460651000;11752;5000;-;207.4;0.2;261021696;4571893760;265646080;4629184512;23046055;1875452;15219;5706;0;2150400;8;3;/data/work/9f/50a46dab38d0e6f52fdce4bcf26db2;-;-
