task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;cpu08;92/ecd0ca;nf-92ecd0ca1185f79d035d5afc81a66965;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709454963131;1709454973000;1709454973000;9869;33;-;71.6;0.0;2904064;4071424;2904064;4079616;98275;1736;261;18;0;12288;2;3;/data/work/92/ecd0ca1185f79d035d5afc81a66965;-;-
2;cpu08;b3/ab741d;nf-b3ab741d527c36180eebac4b8548c2a7;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709454963211;1709454973000;1709454974000;10789;129;-;51.0;0.0;3158016;4071424;3158016;4079616;3478179;2625319;640;204;0;913408;4;3;/data/work/b3/ab741d527c36180eebac4b8548c2a7;-;-
1;cpu08;10/5995d3;nf-105995d33f9ce3b9d9478b54206412ae;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709454963080;1709454973000;1709454974000;10920;1000;-;59.8;0.0;3276800;5632000;3276800;5636096;709343;1446;280;18;0;12288;2;2;/data/work/10/5995d33f9ce3b9d9478b54206412ae;-;-
4;cpu08;13/bf5bdf;nf-13bf5bdf5952102b52ed1d6b55105ddf;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709454963170;1709454974000;1709454976000;12830;1153;-;2.6;0.0;2916352;4071424;2916352;4079616;108385;205238;261;24;0;212992;2;0;/data/work/13/bf5bdf5952102b52ed1d6b55105ddf;-;-
27;cpu08;ab/5cd367;nf-ab5cd3675e2f3f5dec6aa2d5d174e97f;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA;gfp.fa;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709454980759;1709454983000;1709454984000;3241;1000;-;62.3;0.0;3194880;5632000;3194880;5636096;1290258;440011;322;26;0;454656;2;3;/data/work/ab/5cd3675e2f3f5dec6aa2d5d174e97f;-;-
17;cpu10;25/fe09d7;nf-25fe09d720bc89f273588e74c9aa7552;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample7;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample7);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709454980259;1709454981000;1709454985000;4741;2000;-;275.0;0.2;280375296;4640055296;280375296;4666916864;26289658;3741524;22519;11332;0;4116480;10;4;/data/work/25/fe09d720bc89f273588e74c9aa7552;-;-
18;cpu10;39/c7924e;nf-39c7924e92c68cf83169c915ebbaeba9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample8;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample8);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709454980293;1709454981000;1709454986000;5707;3000;-;192.5;0.1;201883648;4567699456;202829824;4627087360;22978822;1882276;15027;5702;0;2113536;8;7;/data/work/39/c7924e92c68cf83169c915ebbaeba9;-;-
19;cpu10;51/300969;nf-51300969333f54ae8e6cef457fcdc7b5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample9);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709454980331;1709454981000;1709454986000;5669;3000;-;262.0;0.2;285413376;4640055296;286441472;4666916864;26207165;3756388;22380;11304;0;4141056;10;4;/data/work/51/300969333f54ae8e6cef457fcdc7b5;-;-
5;cpu09;f5/35777b;nf-f535777bc1cc7698fb2c4c04602a35d6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1709454980364;1709454982000;1709454989000;8636;7000;-;227.3;0.1;174895104;4561674240;174895104;4626690048;219936629;176704238;37562;19807;0;13176832;2704;65;/data/work/f5/35777bc1cc7698fb2c4c04602a35d6;-;-
6;cpu09;c0/dfd144;nf-c0dfd1444390b5c2a2b68961167b409b;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample10);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1709454980399;1709454982000;1709454985000;4601;3000;-;211.5;0.2;265261056;4571734016;266661888;4628668416;93580023;67621600;17938;8108;0;4427776;69;27;/data/work/c0/dfd1444390b5c2a2b68961167b409b;-;-
32;cpu10;43/43c5ae;nf-4343c5ae00c588890f84bc2af10c0b8d;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome_gfp.fasta;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome_gfp.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1709454985757;1709454986000;1709454987000;1243;1000;-;10.0;0.0;3256320;5632000;3256320;5636096;348493;4985;241;20;0;16384;2;3;/data/work/43/43c5ae00c588890f84bc2af10c0b8d;-;-
9;cpu08;eb/bed57c;nf-ebbed57c3da9761aad762f549e6684c9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample10);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709454979817;1709454983000;1709454989000;9183;5000;-;213.3;0.2;248791040;4571893760;249868288;4629184512;23045475;1875452;15188;5664;0;2158592;8;9;/data/work/eb/bed57c3da9761aad762f549e6684c9;-;-
7;cpu08;ab/0215d3;nf-ab0215d3bea7062158033a3e60ca865d;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709454979961;1709454983000;1709454990000;10039;6000;-;251.9;0.2;293203968;4640055296;298131456;4669321216;26432746;3762272;22817;11350;0;4173824;10;4;/data/work/ab/0215d3bea7062158033a3e60ca865d;-;-
10;cpu08;72/821afc;nf-72821afc91c3aff0fa567e8a97fb991c;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample11);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709454980018;1709454983000;1709454989000;8982;5000;-;296.6;0.2;278867968;4640055296;281604096;4669317120;26331299;3743606;22523;11320;0;4177920;10;5;/data/work/72/821afc91c3aff0fa567e8a97fb991c;-;-
11;cpu02;0f/357180;nf-0f3571808cc4b42603607b84be72a94a;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample12);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709454980054;1709454990000;1709454994000;13946;3000;-;292.4;0.2;287293440;4640055296;287293440;4668461056;26129203;3754689;22288;11333;0;4235264;10;7;/data/work/0f/3571808cc4b42603607b84be72a94a;-;-
12;cpu02;82/c7e780;nf-82c7e780a1a9282c19bb24daab886dd3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample2);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709454980093;1709454989000;1709454994000;13907;3000;-;282.3;0.2;275197952;4640055296;275369984;4666916864;26147378;3747222;22368;11378;0;4169728;10;6;/data/work/82/c7e780a1a9282c19bb24daab886dd3;-;-
