task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;cpu10;78/933472;nf-78933472ce344c3c47befef7cfb83991;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709454418053;1709454418000;1709454419000;947;360;-;19.2;0.0;2977792;4071424;2977792;4079616;3478138;2625317;635;204;20480;913408;2;1;/data/work/78/933472ce344c3c47befef7cfb83991;-;-
1;cpu03;83/edc547;nf-83edc547e5d67bd3af2287a6621aaf84;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709454418096;1709454419000;1709454421000;2904;1028;-;1.9;0.0;2940928;4071424;2940928;4079616;98312;1735;261;18;0;12288;2;0;/data/work/83/edc547e5d67bd3af2287a6621aaf84;-;-
3;cpu09;88/86e603;nf-8886e60359d084ef81b5409e8931f070;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709454418214;1709454419000;1709454421000;2786;1057;-;2.8;0.0;2936832;4071424;2936832;4079616;108426;205238;261;24;0;212992;4;0;/data/work/88/86e60359d084ef81b5409e8931f070;-;-
5;cpu10;01/3de794;nf-013de794ecc433087d769681a8c06f05;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA;gfp.fa;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709454423717;1709454424000;1709454426000;2283;0;-;9.0;0.0;3194880;5632000;3194880;5636096;1290215;440008;322;26;4096;454656;2;3;/data/work/01/3de794ecc433087d769681a8c06f05;-;-
4;cpu02;a6/6d6342;nf-a66d634245aca7931c474823813ca3dd;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709454418247;1709454427000;1709454428000;9753;1000;-;5.6;0.0;3166208;5632000;3166208;5636096;709299;1444;280;18;0;12288;8;0;/data/work/a6/6d634245aca7931c474823813ca3dd;-;-
9;cpu09;ce/a615f6;nf-cea615f6612f7592611cb5c6bd08320c;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED;genome_gfp.gtf;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (genome_gfp.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1709454427487;1709454430000;1709454431000;3513;0;-;53.7;0.0;2723840;11567104;2723840;11571200;406921;7941;207;18;843776;16384;2;1;/data/work/ce/a615f6612f7592611cb5c6bd08320c;-;-
7;cpu03;6e/12f643;nf-6e12f6437ef815637d3733e0c2e3557d;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome_gfp.fasta;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome_gfp.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1709454427522;1709454429000;1709454430000;2478;0;-;36.1;0.0;3158016;5632000;3158016;5636096;348529;4987;241;20;0;16384;2;0;/data/work/6e/12f6437ef815637d3733e0c2e3557d;-;-
8;cpu10;8b/0911e1;nf-8b0911e12b30dfad2dc9b6e25441e8cc;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:BBMAP_BBSPLIT;-;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:BBMAP_BBSPLIT;COMPLETED;0;-;quay.io/biocontainers/bbmap:38.93--he522d1c_0;6;21600000;-;53687091200;1;1709454427613;1709454428000;1709454430000;2387;2000;-;114.9;0.4;487432192;57810407424;487485440;57875423232;11889520;5169453;3049;767;1019904;4820992;24;1;/data/work/8b/0911e12b30dfad2dc9b6e25441e8cc;-;-
6;cpu08;d2/66d1a9;nf-d266d1a923e8a5d6fbff41b8c674cfd3;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE;genome_gfp.fasta;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (genome_gfp.fasta);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-1fa26d1ce03c295fe2fdcf85831a92fbcbd7e8c2:afaaa4c6f5b308b4b6aa2dd8e99e1466b2a6b0cd-0;6;21600000;-;53687091200;1;1709454427580;1709454431000;1709454432000;4420;1000;-;79.6;0.0;3231744;5632000;3231744;5636096;4943924;6542531;422;135;356352;6615040;2;0;/data/work/d2/66d1a923e8a5d6fbff41b8c674cfd3;-;-
13;cpu10;4c/a615e2;nf-4ca615e22fdffbccf59af0e901ddde6d;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample10);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1709454432631;1709454433000;1709454436000;3369;3000;-;222.0;0.1;183984128;4565491712;186818560;4628697088;93579843;67621596;17618;8108;983040;4427776;117;21;/data/work/4c/a615e22fdffbccf59af0e901ddde6d;-;-
25;cpu10;61/2e1ed4;nf-612e1ed4f18f830f732362466d712938;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample8;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample8);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709454432790;1709454433000;1709454437000;4210;3000;-;215.5;0.2;249864192;4574564352;249925632;4627087360;22978171;1882276;14989;5681;0;2113536;8;3;/data/work/61/2e1ed4f18f830f732362466d712938;-;-
14;cpu09;a3/9b9df0;nf-a39b9df03b1f144e1d174ae98dec9112;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample11);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709454432494;1709454433000;1709454437000;4506;3000;-;231.9;0.2;293244928;4640055296;298246144;4669317120;26114708;3743605;22342;11320;0;4116480;10;8;/data/work/a3/9b9df03b1f144e1d174ae98dec9112;-;-
18;cpu09;b0/603501;nf-b06035014343f8f54ba9271f0be65009;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample3);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709454432579;1709454433000;1709454437000;4421;2000;-;226.6;0.2;244203520;4571893760;244273152;4627087360;22929729;1872555;14964;5664;0;2109440;8;6;/data/work/b0/6035014343f8f54ba9271f0be65009;-;-
