task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;cpu09;d9/938d68;nf-d9938d68f10035ca451c6b04c91771dc;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709466226967;1709466234000;1709466234000;7033;65;-;27.5;0.0;2994176;4071424;2994176;4079616;98320;1736;261;18;0;12288;2;2;/data/work/d9/938d68f10035ca451c6b04c91771dc;-;-
1;cpu09;c5/4c11b6;nf-c54c11b688c3a93209d144f22a32d188;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709466227008;1709466234000;1709466234000;6992;0;-;60.8;0.0;3244032;5632000;3244032;5636096;709345;1446;280;18;0;12288;2;1;/data/work/c5/4c11b688c3a93209d144f22a32d188;-;-
2;cpu09;ae/bed7cd;nf-aebed7cdb93277c08a5c0f6a71581931;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709466227047;1709466234000;1709466234000;6953;122;-;47.1;0.0;3014656;4071424;3014656;4079616;3478327;2625319;640;204;0;913408;2;4;/data/work/ae/bed7cdb93277c08a5c0f6a71581931;-;-
4;cpu09;6b/d89a98;nf-6bd89a981b93a8473e4768f2b7cb3d41;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709466226916;1709466234000;1709466238000;11084;2630;-;1.1;0.0;2908160;4071424;2908160;4079616;108428;205238;261;24;0;212992;2;0;/data/work/6b/d89a981b93a8473e4768f2b7cb3d41;-;-
22;cpu09;ba/30cbbd;nf-ba30cbbd368ad46eb6554b5b33c58ae7;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample3);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1709466242069;1709466244000;1709466247000;4931;3000;-;209.4;0.1;201494528;4567539712;201494528;4628668416;93201841;67470808;17583;8089;0;4325376;88;26;/data/work/ba/30cbbd368ad46eb6554b5b33c58ae7;-;-
27;cpu09;9b/40b983;nf-9b40b9834c7255b2baea09771cb7d2dd;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample8;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample8);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1709466242228;1709466244000;1709466247000;4772;3000;-;221.6;0.1;197828608;4567539712;197828608;4626571264;93387078;67567780;17525;8107;0;4382720;101;24;/data/work/9b/40b9834c7255b2baea09771cb7d2dd;-;-
18;cpu10;1e/065972;nf-1e0659720505e95973e64bf5ddd3246a;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample12);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1709466241908;1709466243000;1709466250000;8092;6000;-;232.2;0.1;201531392;4567674880;203788288;4626685952;219621132;176559256;37036;19793;0;12967936;1109;65;/data/work/1e/0659720505e95973e64bf5ddd3246a;-;-
19;cpu10;61/5b56cc;nf-615b56cc9847909fd3f278ae0363ebbf;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample2);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1709466242040;1709466243000;1709466251000;8960;7000;-;199.3;0.2;272961536;4574679040;272961536;4628815872;219847206;176758231;37816;19816;0;13000704;1043;68;/data/work/61/5b56cc9847909fd3f278ae0363ebbf;-;-
29;cpu08;8a/eabfe3;nf-8aeabfe349a5bf1437d6da84b0706d14;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA;gfp.fa;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709466243898;1709466252000;1709466252000;8102;0;-;64.4;0.0;3182592;5632000;3182592;5636096;1290260;440013;322;26;0;454656;8;8;/data/work/8a/eabfe349a5bf1437d6da84b0706d14;-;-
13;cpu10;04/0b475d;nf-040b475da938783bddc1a2b284b5289c;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample3);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709466241669;1709466253000;1709466256000;14331;2000;-;216.9;0.2;246845440;4571893760;246845440;4627087360;22928516;1872553;14856;5706;0;2109440;19;8;/data/work/04/0b475da938783bddc1a2b284b5289c;-;-
