task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu10;1a/86d142;nf-1a86d1421e696993f07c40a8deeb257c;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1709467832610;1709467834000;1709467835000;2390;0;-;33.7;0.0;2904064;11567104;2904064;11571200;92911;9825;157;413;0;24576;2;2;/data/work/1a/86d1421e696993f07c40a8deeb257c;-;-
4;cpu10;a9/c0f59e;nf-a9c0f59e96ca2cb2ca602ee95d3616dd;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1709467832722;1709467834000;1709467835000;2278;1000;-;5.8;0.0;3194880;5632000;3194880;5636096;699435;4212;278;18;0;12288;2;3;/data/work/a9/c0f59e96ca2cb2ca602ee95d3616dd;-;-
5;cpu09;34/08930f;nf-3408930f07ef6cee0599f6d5d317e43b;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709467832405;1709467841000;1709467841000;8595;0;-;52.6;0.0;3244032;5632000;3244032;5636096;711937;1380;279;18;1536000;12288;2;3;/data/work/34/08930f07ef6cee0599f6d5d317e43b;-;-
2;cpu09;c2/a01916;nf-c2a0191600c0c74d1f9afd1d3c2f45ac;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709467832453;1709467841000;1709467841000;8547;104;-;78.9;0.0;2932736;4071424;2932736;4079616;10375083;18316752;1435;1206;442368;9179136;2;3;/data/work/c2/a0191600c0c74d1f9afd1d3c2f45ac;-;-
7;cpu09;f0/b240ff;nf-f0b240ff6777ca2a6892bd7fbca1de95;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1709467832495;1709467841000;1709467841000;8505;0;-;120.5;0.0;3166208;5632000;3166208;5636096;1886631;8721310;594;3048;32768;8810496;2;0;/data/work/f0/b240ff6777ca2a6892bd7fbca1de95;-;-
8;cpu09;2a/9050c2;nf-2a9050c23899b969a2fffef5377f9389;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709467832535;1709467841000;1709467841000;8465;31;-;48.5;0.0;3022848;4071424;3022848;4079616;99176;5090;261;18;0;16384;2;2;/data/work/2a/9050c23899b969a2fffef5377f9389;-;-
9;cpu09;f0/92bf15;nf-f092bf15a0fc86e3135617256ea8db1c;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1709467832570;1709467840000;1709467841000;8430;0;-;34.4;0.0;3170304;5632000;3170304;5636096;144193;4967;237;20;610304;16384;2;1;/data/work/f0/92bf15a0fc86e3135617256ea8db1c;-;-
3;cpu09;3e/f4615e;nf-3ef4615e6c87414db5a40ddd4dc06859;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709467832646;1709467841000;1709467841000;8354;549;-;108.5;0.0;3014656;4071424;3014656;4079616;96380673;110259112;7197;7089;0;55144448;2;2;/data/work/3e/f4615e6c87414db5a40ddd4dc06859;-;-
6;cpu10;92/ae61b7;nf-92ae61b788f9cff1ae8bf41f99d96baa;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1709467832685;1709467834000;1709467842000;9315;8000;-;2.7;0.0;40919040;1159774208;40919040;1226661888;247532;58057;362;45;0;110592;61;64;/data/work/92/ae61b788f9cff1ae8bf41f99d96baa;-;-
15;cpu10;82/1e01ca;nf-821e01cabd70db6812466ad707ee1c37;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709467844543;1709467846000;1709467850000;5457;3000;-;172.3;0.2;302534656;4571893760;307109888;4627087360;23494571;2424763;16433;6669;0;2695168;8;4;/data/work/82/1e01cabd70db6812466ad707ee1c37;-;-
13;cpu09;44/1c38be;nf-441c38becde57f3aebb159bfc3f2785b;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ;SAMPLE3_SE;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709467844578;1709467851000;1709467851000;6422;64;-;41.0;0.0;2961408;4071424;2961408;4079616;5892140;5804641;247;19;0;5812224;2;2;/data/work/44/1c38becde57f3aebb159bfc3f2785b;-;-
14;cpu10;a3/302f1b;nf-a3302f1b358cd72a482e5257984e630d;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE1_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE1_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1709467844611;1709467846000;1709467850000;5389;4000;-;117.2;1.0;1284374528;1807089664;1284374528;1807093760;25718501;6292809;209;710;0;6316032;18;599;/data/work/a3/302f1b358cd72a482e5257984e630d;-;-
