task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;cpu10;75/d11c49;nf-75d11c49ea07a2bb112a4427c526d313;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1709475683272;1709475684000;1709475685000;1728;0;-;27.1;0.0;3084288;5632000;3084288;5636096;699448;4214;278;18;0;12288;2;2;/data/work/75/d11c49ea07a2bb112a4427c526d313;-;-
7;cpu10;0f/ae70c8;nf-0fae70c8a9eff3ef66df75a0747317f3;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709475683337;1709475685000;1709475686000;2663;1207;-;6.6;0.0;3108864;4071424;3108864;4079616;10374930;18316750;1442;1206;0;9179136;2;2;/data/work/0f/ae70c8a9eff3ef66df75a0747317f3;-;-
5;cpu10;f3/550006;nf-f3550006aa3b5219c1e4a35c34debf52;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1709475683374;1709475685000;1709475687000;3626;1000;-;1.7;0.0;2732032;11567104;2732032;11571200;92922;9825;157;413;0;24576;2;2;/data/work/f3/550006aa3b5219c1e4a35c34debf52;-;-
8;cpu10;8d/f1fe54;nf-8df1fe54eb59cda78cbdc3643cdff22c;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1709475683408;1709475685000;1709475685000;1592;0;-;22.3;0.0;3174400;5632000;3174400;5636096;144165;4966;237;20;0;16384;2;2;/data/work/8d/f1fe54eb59cda78cbdc3643cdff22c;-;-
2;cpu09;cb/9fdc8f;nf-cb9fdc8f562390804d02d2fcb979f3c3;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1709475683104;1709475691000;1709475693000;9896;2000;-;15.3;0.0;41639936;151281664;41639936;218169344;247586;58058;363;45;12288;110592;18;9;/data/work/cb/9fdc8f562390804d02d2fcb979f3c3;-;-
3;cpu09;2d/d3098f;nf-2dd3098f2d35fa0f9357f76a0c9c668a;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709475683155;1709475692000;1709475692000;8845;37;-;44.8;0.0;2977792;4071424;2977792;4079616;99188;5090;261;18;0;16384;3;1;/data/work/2d/d3098f2d35fa0f9357f76a0c9c668a;-;-
1;cpu09;ee/120721;nf-ee1207212c7c51c68f0b17d698f86817;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1709475683193;1709475692000;1709475692000;8807;0;-;107.4;0.0;3194880;5632000;3194880;5636096;1886644;8721310;594;3047;0;8810496;2;1;/data/work/ee/1207212c7c51c68f0b17d698f86817;-;-
6;cpu09;d3/8fffd7;nf-d38fffd727b1f98f84b13fa94d02709e;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709475683232;1709475692000;1709475692000;8768;558;-;95.0;0.0;2895872;4071424;2895872;4079616;96380685;110259111;7211;7089;0;55144448;2;1;/data/work/d3/8fffd727b1f98f84b13fa94d02709e;-;-
9;cpu09;25/22a668;nf-2522a6685633cc946eb32dfc290a58fc;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709475683306;1709475692000;1709475692000;8694;0;-;55.0;0.0;3231744;5632000;3231744;5636096;711946;1380;280;18;0;12288;2;1;/data/work/25/22a6685633cc946eb32dfc290a58fc;-;-
13;cpu10;22/33f354;nf-2233f354aecc8aac95bdc23f535220db;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ;SAMPLE3_SE;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709475696040;1709475697000;1709475697000;960;26;-;57.1;0.0;2883584;4071424;2883584;4079616;5892072;5804640;247;19;0;5812224;2;2;/data/work/22/33f354aecc8aac95bdc23f535220db;-;-
