task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
5;cpu10;8a/3c1697;nf-8a3c16971bc376d5008cea6e4cb643a2;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1709470951909;1709470952000;1709470957000;5091;1000;-;50.3;0.0;3084288;5632000;3084288;5636096;1886595;8721307;594;3048;0;8810496;2;0;/data/work/8a/3c16971bc376d5008cea6e4cb643a2;-;-
9;cpu08;63/c6dbdd;nf-63c6dbdd1074e05610d579987dc67ecb;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709470951945;1709470957000;1709470957000;5055;108;-;25.5;0.0;3047424;4071424;3047424;4079616;99134;5091;261;18;0;16384;2;0;/data/work/63/c6dbdd1074e05610d579987dc67ecb;-;-
4;cpu02;ab/187151;nf-ab1871512f73c3a6f199230cdc661aed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709470951981;1709470959000;1709470959000;7019;119;-;80.6;0.0;3043328;4071424;3043328;4079616;10374925;18316752;1442;1206;0;9179136;2;1;/data/work/ab/1871512f73c3a6f199230cdc661aed;-;-
6;cpu08;34/799834;nf-3479983468da5a6d68b2996817d6c48d;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1709470952011;1709470957000;1709470957000;4989;0;-;63.1;0.0;3203072;5632000;3203072;5636096;699476;4216;278;18;0;12288;2;0;/data/work/34/79983468da5a6d68b2996817d6c48d;-;-
8;cpu02;23/6346dc;nf-236346dc00ff7cc537a4120110a116ec;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1709470952045;1709470959000;1709470959000;6955;0;-;53.3;0.0;3219456;5632000;3219456;5636096;144159;4966;237;20;0;16384;2;1;/data/work/23/6346dc00ff7cc537a4120110a116ec;-;-
1;cpu02;b0/7b4e45;nf-b07b4e453d2e3c0a5b4b47d56a9cbe7b;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709470952074;1709470959000;1709470960000;7926;709;-;106.4;0.0;3096576;4071424;3096576;4079616;96380513;110259111;7206;7089;0;55144448;2;1;/data/work/b0/7b4e453d2e3c0a5b4b47d56a9cbe7b;-;-
2;cpu03;59/dd9089;nf-59dd9089aacea882c4833c85a7904fd5;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1709470951829;1709470962000;1709470963000;11171;0;-;38.6;0.0;2969600;11567104;2969600;11571200;92941;9827;157;413;0;24576;2;1;/data/work/59/dd9089aacea882c4833c85a7904fd5;-;-
3;cpu09;dc/702f48;nf-dc702f48fd36091d07048112c0781969;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1709470951875;1709470961000;1709470963000;11125;1000;-;15.7;0.0;41783296;151281664;41783296;218169344;247577;58059;362;45;0;110592;18;14;/data/work/dc/702f48fd36091d07048112c0781969;-;-
7;cpu03;4b/c82544;nf-4bc8254484c287c394ee784e0ff36d4a;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709470952103;1709470962000;1709470963000;10897;0;-;10.3;0.0;3317760;5632000;3317760;5636096;711926;1380;279;18;0;12288;2;3;/data/work/4b/c8254484c287c394ee784e0ff36d4a;-;-
10;cpu10;1b/3c322f;nf-1b3c322f9a01b45b49ffae5faafbaa5d;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1709470961550;1709470962000;1709470964000;2450;2000;-;62.0;0.0;69873664;16222814208;69963776;16222818304;18772208;17054;4367;169;0;90112;14;2;/data/work/1b/3c322f9a01b45b49ffae5faafbaa5d;-;-
