task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
6;cpu02;0c/4cadd9;nf-0c4cadd9a1b16f92a9d97628a918faed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709476696812;1709476704000;1709476704000;7188;49;-;51.9;0.0;2949120;4071424;2949120;4079616;99106;5089;261;18;0;16384;2;3;/data/work/0c/4cadd9a1b16f92a9d97628a918faed;-;-
2;cpu02;07/10d34c;nf-0710d34cbaadd29a6e2fd5ddf7f257bc;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709476696865;1709476704000;1709476704000;7135;110;-;96.4;0.0;2920448;4071424;2920448;4079616;10374931;18316752;1441;1206;0;9179136;2;2;/data/work/07/10d34cbaadd29a6e2fd5ddf7f257bc;-;-
4;cpu02;32/4c7406;nf-324c740607bb2f3201c3d26bbeedd0f1;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709476696942;1709476704000;1709476704000;7058;0;-;61.2;0.0;3117056;5632000;3117056;5636096;711908;1379;279;18;0;12288;2;0;/data/work/32/4c740607bb2f3201c3d26bbeedd0f1;-;-
3;cpu03;a4/c9e15c;nf-a4c9e15c11c519135370284a0672911c;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1709476696973;1709476707000;1709476707000;10027;0;-;66.4;0.0;3289088;5632000;3289088;5636096;699470;4215;278;18;0;12288;2;0;/data/work/a4/c9e15c11c519135370284a0672911c;-;-
1;cpu02;c9/c4f5b4;nf-c9c4f5b41368260ae6d4c01a9500d31b;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1709476697012;1709476704000;1709476704000;6988;0;-;122.1;0.0;3203072;5632000;3203072;5636096;1886604;8721309;593;3046;0;8810496;2;2;/data/work/c9/c4f5b41368260ae6d4c01a9500d31b;-;-
7;cpu02;46/b23e3a;nf-46b23e3ad6a8d134795a16143b1c6655;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1709476697088;1709476704000;1709476704000;6912;0;-;63.7;0.0;3223552;5632000;3223552;5636096;144164;4966;237;20;0;16384;2;3;/data/work/46/b23e3ad6a8d134795a16143b1c6655;-;-
9;cpu02;65/158136;nf-65158136287e3df20f6f9f73782fc472;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709476697125;1709476704000;1709476705000;7875;738;-;102.7;0.0;2953216;4071424;2953216;4079616;96380519;110259111;7211;7089;0;55144448;2;0;/data/work/65/158136287e3df20f6f9f73782fc472;-;-
8;cpu03;a0/e74a54;nf-a0e74a540de1ad3216d03756228272f6;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1709476696907;1709476707000;1709476709000;12093;2000;-;16.2;0.0;35905536;1159774208;35909632;1226661888;247568;58059;362;45;0;110592;69;41;/data/work/a0/e74a540de1ad3216d03756228272f6;-;-
5;cpu03;eb/3478a2;nf-eb3478a2fa3271203ae1fb94cabb056a;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1709476697052;1709476707000;1709476708000;10948;0;-;42.7;0.0;2973696;11567104;2973696;11571200;92945;9827;157;413;0;24576;2;3;/data/work/eb/3478a2fa3271203ae1fb94cabb056a;-;-
10;cpu02;35/496cd2;nf-35496cd209b2114534a8fa7c4f333465;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1709476707791;1709476708000;1709476710000;2209;2000;-;69.5;0.0;69591040;16222814208;69681152;16222818304;18772670;17056;4411;169;0;90112;14;4;/data/work/35/496cd209b2114534a8fa7c4f333465;-;-
