task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu09;da/14da25;nf-da14da2500a9ea4d7dae8fef80d8b1bb;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711801898978;1711801899000;1711801909000;10022;4952;-;0.8;0.0;3317760;5615616;3317760;5632000;613330;3285;225;13;0;4096;2;0;/data/work/da/14da2500a9ea4d7dae8fef80d8b1bb;-;-
17;cpu09;65/e33d74;nf-65e33d747fea94afc37909aed09f9158;FASTQC;OSMOTIC_STRESS_T0D_R2_T1;FASTQC (OSMOTIC_STRESS_T0D_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711801914737;1711801917000;1711801923000;8263;5807;-;176.4;0.2;225382400;4552880128;226459648;4614062080;41604334;4172522;36068;12525;0;4583424;11;10;/data/work/65/e33d747fea94afc37909aed09f9158;-;-
62;cpu02;1e/66516e;nf-1e66516eb8356f60739f510551e01dee;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711801916295;1711801919000;1711801919000;2705;387;-;78.1;0.0;3313664;5615616;3313664;5632000;3550774;1315234;582;13;0;1318912;8;6;/data/work/1e/66516eb8356f60739f510551e01dee;-;-
2;cpu09;a9/07b956;nf-a907b956207c200a610adc669242686e;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711801914273;1711801915000;1711801924000;9727;7058;-;77.7;0.0;60612608;65286144;60612608;65302528;49257404;33434041;1704;50;0;33468416;279;472;/data/work/a9/07b956207c200a610adc669242686e;-;-
3;cpu03;f4/124101;nf-f41241010ff52bc489788f6f60233465;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1711801914325;1711801922000;1711801923000;8675;470;-;99.1;0.0;3330048;5615616;3330048;5632000;12185429;400814;1619;61;0;401408;3;1;/data/work/f4/1241010ff52bc489788f6f60233465;-;-
4;cpu10;b7/69e9ba;nf-b769e9baada9400872a9a1ea45e11929;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711801914372;1711801923000;1711801924000;9628;199;-;56.6;0.0;4997120;12120064;4997120;12136448;12988214;1258;463;17;0;16384;13;11;/data/work/b7/69e9baada9400872a9a1ea45e11929;-;-
5;cpu02;9f/f161b8;nf-9ff161b87529268e0a666ba05d62d86d;FASTQC;OSMOTIC_STRESS_T0_R1_T1;FASTQC (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711801914447;1711801919000;1711801926000;11553;6754;-;221.9;0.2;288342016;4557074432;290979840;4616159232;41561256;4199874;36092;12581;0;4624384;12;12;/data/work/9f/f161b87529268e0a666ba05d62d86d;-;-
9;cpu09;48/57549d;nf-4857549d9197b8f7e413226dc9e3a540;FASTQC;OSMOTIC_STRESS_T0B_R1_T1;FASTQC (OSMOTIC_STRESS_T0B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711801914552;1711801917000;1711801923000;8448;5847;-;177.0;0.2;227627008;4552880128;227627008;4614062080;41558974;4199974;35958;12627;0;4587520;11;9;/data/work/48/57549d9197b8f7e413226dc9e3a540;-;-
10;cpu02;67/8a31df;nf-678a31df3335546897edd673f3c1d94f;FASTQC;OSMOTIC_STRESS_T0B_R2_T1;FASTQC (OSMOTIC_STRESS_T0B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711801914624;1711801919000;1711801926000;11376;6729;-;209.4;0.2;295792640;4557074432;295895040;4614062080;41606453;4172519;36213;12548;0;4628480;12;11;/data/work/67/8a31df3335546897edd673f3c1d94f;-;-
13;cpu10;1c/3cae41;nf-1c3cae41237a407c384a845d87f6d3ee;FASTQC;OSMOTIC_STRESS_T0C_R2_T1;FASTQC (OSMOTIC_STRESS_T0C_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711801914659;1711801923000;1711801928000;13341;4575;-;225.4;0.2;253370368;4554977280;255180800;4611964928;41595842;4172517;36042;12525;0;4591616;11;6;/data/work/1c/3cae41237a407c384a845d87f6d3ee;-;-
19;cpu02;db/eba382;nf-dbeba382627939ae426b4cac1db02f51;FASTQC;OSMOTIC_STRESS_T0E_R2_T1;FASTQC (OSMOTIC_STRESS_T0E_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711801914806;1711801919000;1711801926000;11194;6750;-;225.9;0.2;277037056;4557074432;279347200;4614062080;41598166;4172519;36179;12525;0;4620288;11;13;/data/work/db/eba382627939ae426b4cac1db02f51;-;-
20;cpu10;04/a1932c;nf-04a1932ca04e3667139e0b1db6cd6ad8;FASTQC;OSMOTIC_STRESS_T0F_R1_T1;FASTQC (OSMOTIC_STRESS_T0F_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711801914836;1711801923000;1711801929000;14164;5526;-;189.4;0.2;288251904;4557074432;290549760;4614062080;41558889;4199970;35979;12581;0;4698112;11;11;/data/work/04/a1932ca04e3667139e0b1db6cd6ad8;-;-
6;cpu08;8e/6c0703;nf-8e6c070391cfa6f002affaf5d2149c5d;FASTQC;OSMOTIC_STRESS_T0_R2_T1;FASTQC (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711801914412;1711801923000;1711801932000;17588;8952;-;223.4;0.2;284696576;4557074432;284790784;4614062080;41599981;4172427;36254;12502;0;4595712;11;8;/data/work/8e/6c070391cfa6f002affaf5d2149c5d;-;-
7;cpu10;0e/963c98;nf-0e963c986c7ad7561e72a53fab327981;FASTQC;OSMOTIC_STRESS_T0A_R1_T1;FASTQC (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711801914480;1711801923000;1711801930000;15520;6518;-;171.8;0.2;284827648;4557074432;286855168;4611964928;41559270;4199970;35991;12581;0;4702208;11;11;/data/work/0e/963c986c7ad7561e72a53fab327981;-;-
8;cpu03;fa/a5418c;nf-faa5418c2ec469a192874d1629b3780b;FASTQC;OSMOTIC_STRESS_T0A_R2_T1;FASTQC (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711801914516;1711801922000;1711801929000;14484;6759;-;229.6;0.2;274067456;4557074432;275222528;4614062080;41606154;4172522;36161;12548;0;4616192;11;8;/data/work/fa/a5418c2ec469a192874d1629b3780b;-;-
11;cpu08;e7/e99187;nf-e7e99187e11fc8dca188c369ab5bbb10;FASTQC;OSMOTIC_STRESS_T0C_R1_T1;FASTQC (OSMOTIC_STRESS_T0C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711801914590;1711801923000;1711801932000;17410;8947;-;224.9;0.2;284823552;4561104896;284823552;4614062080;41562615;4199970;36122;12581;0;4603904;11;19;/data/work/e7/e99187e11fc8dca188c369ab5bbb10;-;-
16;cpu03;53/5e744b;nf-535e744bdd98f872d1a52114204ef9f2;FASTQC;OSMOTIC_STRESS_T0D_R1_T1;FASTQC (OSMOTIC_STRESS_T0D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711801914699;1711801922000;1711801929000;14301;6713;-;221.2;0.2;297259008;4557074432;299761664;4617908224;41561139;4199972;36103;12581;0;4624384;11;11;/data/work/53/5e744bdd98f872d1a52114204ef9f2;-;-
18;cpu08;f1/a13ff3;nf-f1a13ff3642ff68045528182cd02233f;FASTQC;OSMOTIC_STRESS_T0E_R1_T1;FASTQC (OSMOTIC_STRESS_T0E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711801914768;1711801923000;1711801932000;17232;8971;-;217.9;0.2;296308736;4557074432;298983424;4614062080;41562833;4199970;36143;12558;0;4612096;11;11;/data/work/f1/a13ff3642ff68045528182cd02233f;-;-
21;cpu03;bb/ab407b;nf-bbab407b0e5a1cb7d0018c7e82fafe5a;FASTQC;OSMOTIC_STRESS_T0F_R2_T1;FASTQC (OSMOTIC_STRESS_T0F_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711801914870;1711801922000;1711801929000;14130;6745;-;226.5;0.2;286031872;4557074432;286134272;4611964928;41606060;4172520;36151;12548;0;4624384;11;16;/data/work/bb/ab407b0e5a1cb7d0018c7e82fafe5a;-;-
22;cpu09;41/d99fe9;nf-41d99fe96fac8aa3f0dd18e8c03473e8;FASTQC;OSMOTIC_STRESS_T15_R1_T1;FASTQC (OSMOTIC_STRESS_T15_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711801914905;1711801925000;1711801931000;16095;6533;-;169.0;0.2;303431680;4557074432;303431680;4616159232;41802575;4175164;36454;12491;0;4608000;11;4;/data/work/41/d99fe96fac8aa3f0dd18e8c03473e8;-;-
23;cpu09;f2/edafc6;nf-f2edafc6572aab61e30097880e6656b9;FASTQC;OSMOTIC_STRESS_T15_R2_T1;FASTQC (OSMOTIC_STRESS_T15_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711801914937;1711801926000;1711801931000;16063;5519;-;195.9;0.2;290783232;4557074432;295415808;4617908224;41791805;4204863;36417;12561;0;4587520;11;4;/data/work/f2/edafc6572aab61e30097880e6656b9;-;-
24;cpu09;09/99902f;nf-0999902f747d117a5f69beb4bf1cc733;FASTQC;OSMOTIC_STRESS_T15A_R1_T1;FASTQC (OSMOTIC_STRESS_T15A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711801914973;1711801927000;1711801932000;17027;5503;-;180.2;0.2;296640512;4557074432;296742912;4617908224;41802267;4175258;36451;12491;0;4620288;11;4;/data/work/09/99902f747d117a5f69beb4bf1cc733;-;-
61;cpu08;ff/0b754b;nf-ff0b754b34b4368eb8cedd1fcf779898;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711801916241;1711801923000;1711801931000;14759;8272;-;90.5;0.1;104386560;4429524992;104386560;4429606912;51680384;40456;13203;111;0;196608;50;139;/data/work/ff/0b754b34b4368eb8cedd1fcf779898;-;-
