task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu10;41/d147a2;nf-41d147a2857f65fb712a0cac6c69e6a6;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711792431700;1711792442000;1711792448000;16300;4983;-;1.2;0.0;3223552;5615616;3223552;5632000;613411;3284;225;13;0;4096;2;0;/data/work/41/d147a2857f65fb712a0cac6c69e6a6;-;-
3;cpu09;f0/e2e15e;nf-f0e2e15ece427126f129e1354ed98d97;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1711792451628;1711792452000;1711792454000;2372;805;-;42.5;0.0;3301376;5615616;3301376;5632000;12185421;400814;1619;61;0;401408;2;2;/data/work/f0/e2e15ece427126f129e1354ed98d97;-;-
9;cpu09;20/186171;nf-2018617108c74d96525be026f0966894;FASTQC;OSMOTIC_STRESS_T0B_R1_T1;FASTQC (OSMOTIC_STRESS_T0B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792451847;1711792454000;1711792460000;8153;5508;-;200.2;0.2;291905536;4557074432;297078784;4617908224;41550955;4199973;35989;12535;0;4620288;11;4;/data/work/20/18617108c74d96525be026f0966894;-;-
16;cpu09;46/b26261;nf-46b262619d353f7001c76a9989bcbced;FASTQC;OSMOTIC_STRESS_T0D_R1_T1;FASTQC (OSMOTIC_STRESS_T0D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792451983;1711792454000;1711792460000;8017;5503;-;191.3;0.2;294055936;4557074432;294158336;4616159232;41559123;4199972;35986;12558;0;4608000;11;9;/data/work/46/b262619d353f7001c76a9989bcbced;-;-
18;cpu09;eb/a11afe;nf-eba11afee4dc51fbd9ef46396a3fd779;FASTQC;OSMOTIC_STRESS_T0E_R1_T1;FASTQC (OSMOTIC_STRESS_T0E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792452014;1711792454000;1711792461000;8986;6489;-;178.1;0.2;286687232;4557074432;291528704;4611964928;41560117;4199971;36062;12558;0;4698112;11;3;/data/work/eb/a11afee4dc51fbd9ef46396a3fd779;-;-
63;cpu09;6b/62ef10;nf-6b62ef1062c47dd36d0f6f7d8b75af50;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711792457075;1711792457000;1711792459000;1925;1059;-;3.7;0.0;3268608;5615616;3268608;5632000;854740;611005;230;39;0;212992;4;4;/data/work/6b/62ef1062c47dd36d0f6f7d8b75af50;-;-
4;cpu10;38/e9a0d5;nf-38e9a0d5850a34d31c87cd2055d4c128;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711792451677;1711792462000;1711792462000;10323;159;-;64.5;0.0;3346432;5615616;3346432;5632000;12988215;1258;463;17;0;16384;4;3;/data/work/38/e9a0d5850a34d31c87cd2055d4c128;-;-
62;cpu02;6d/bb457f;nf-6dbb457fd3ddfc0aa3c14e27945c58e8;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711792453568;1711792463000;1711792464000;10432;389;-;80.6;0.0;3194880;5615616;3194880;5632000;3550773;1315234;582;13;0;1318912;8;8;/data/work/6d/bb457fd3ddfc0aa3c14e27945c58e8;-;-
5;cpu10;f9/cfe188;nf-f9cfe1882d82740b3c9d29be176ff97e;FASTQC;OSMOTIC_STRESS_T0_R1_T1;FASTQC (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792451749;1711792462000;1711792468000;16251;5501;-;180.8;0.2;282009600;4557074432;282009600;4616159232;41559046;4199872;35970;12627;0;4640768;11;5;/data/work/f9/cfe1882d82740b3c9d29be176ff97e;-;-
7;cpu10;fe/8ad104;nf-fe8ad1041acb9bdce52c5a23030fa26f;FASTQC;OSMOTIC_STRESS_T0A_R1_T1;FASTQC (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792451784;1711792462000;1711792468000;16216;5575;-;192.9;0.2;296693760;4557074432;299216896;4614062080;41559557;4199970;36021;12558;0;4640768;11;15;/data/work/fe/8ad1041acb9bdce52c5a23030fa26f;-;-
8;cpu02;f8/91c906;nf-f891c9062b7cdfd8ecfe4ae3a6a207be;FASTQC;OSMOTIC_STRESS_T0A_R2_T1;FASTQC (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792451816;1711792463000;1711792470000;18184;6718;-;229.5;0.2;275513344;4557074432;276549632;4614062080;41597778;4172521;36139;12525;0;4628480;11;12;/data/work/f8/91c9062b7cdfd8ecfe4ae3a6a207be;-;-
13;cpu02;77/f9b9e2;nf-77f9b9e258d3955fb75329b757338aaa;FASTQC;OSMOTIC_STRESS_T0B_R2_T1;FASTQC (OSMOTIC_STRESS_T0B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792451882;1711792463000;1711792470000;18118;6724;-;231.7;0.2;298090496;4557074432;299941888;4614062080;41606718;4172519;36191;12502;0;4644864;11;12;/data/work/77/f9b9e258d3955fb75329b757338aaa;-;-
14;cpu08;5f/92a51c;nf-5f92a51c17d1fa268e26e541856586bd;FASTQC;OSMOTIC_STRESS_T0C_R1_T1;FASTQC (OSMOTIC_STRESS_T0C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792451914;1711792459000;1711792468000;16086;8897;-;221.5;0.2;296951808;4557074432;299520000;4614062080;41562228;4199970;36106;12604;0;4591616;11;112;/data/work/5f/92a51c17d1fa268e26e541856586bd;-;-
15;cpu02;0f/7cf9d1;nf-0f7cf9d1d1e356baf6fa8f07ee3d0c6d;FASTQC;OSMOTIC_STRESS_T0C_R2_T1;FASTQC (OSMOTIC_STRESS_T0C_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792451949;1711792463000;1711792470000;18051;6705;-;228.4;0.2;285552640;4557074432;285573120;4614062080;41598034;4172518;36164;12548;0;4608000;11;7;/data/work/0f/7cf9d1d1e356baf6fa8f07ee3d0c6d;-;-
17;cpu08;c8/69c47e;nf-c869c47e6995e28808a48f088195a543;FASTQC;OSMOTIC_STRESS_T0D_R2_T1;FASTQC (OSMOTIC_STRESS_T0D_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792452047;1711792459000;1711792468000;15953;8894;-;201.2;0.2;281317376;4559089664;281317376;4614062080;41608180;4172520;36281;12502;0;4583424;11;13;/data/work/c8/69c47e6995e28808a48f088195a543;-;-
19;cpu10;f9/5fbb44;nf-f95fbb44dbb2392c034c7406d1b86e40;FASTQC;OSMOTIC_STRESS_T0E_R2_T1;FASTQC (OSMOTIC_STRESS_T0E_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792452084;1711792462000;1711792468000;15916;5532;-;191.2;0.2;283447296;4557185024;283549696;4611964928;41604080;4172518;36049;12502;0;4657152;11;12;/data/work/f9/5fbb44dbb2392c034c7406d1b86e40;-;-
20;cpu03;1b/605644;nf-1b60564460e585cfd73cb87f451e6d7b;FASTQC;OSMOTIC_STRESS_T0F_R1_T1;FASTQC (OSMOTIC_STRESS_T0F_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792452117;1711792464000;1711792470000;17883;6730;-;212.1;0.2;263614464;4557074432;264577024;4616159232;41561350;4199972;36102;12581;0;4591616;11;13;/data/work/1b/60564460e585cfd73cb87f451e6d7b;-;-
21;cpu03;af/b99c65;nf-afb99c65ffa1b512ad6a581bb33f75bf;FASTQC;OSMOTIC_STRESS_T0F_R2_T1;FASTQC (OSMOTIC_STRESS_T0F_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792452149;1711792464000;1711792470000;17851;6701;-;220.3;0.2;267862016;4557074432;268955648;4614062080;41606161;4172520;36160;12548;0;4587520;11;13;/data/work/af/b99c65ffa1b512ad6a581bb33f75bf;-;-
22;cpu09;91/32f01d;nf-9132f01dda6f35bd63221fea5638bd6c;FASTQC;OSMOTIC_STRESS_T15_R1_T1;FASTQC (OSMOTIC_STRESS_T15_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792452179;1711792462000;1711792468000;15821;5518;-;186.6;0.2;297410560;4559360000;302559232;4614062080;41802429;4175164;36466;12537;0;4554752;11;11;/data/work/91/32f01dda6f35bd63221fea5638bd6c;-;-
23;cpu09;ac/5b2c78;nf-ac5b2c78b678cced8f6e998be8eacf72;FASTQC;OSMOTIC_STRESS_T15_R2_T1;FASTQC (OSMOTIC_STRESS_T15_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792452274;1711792463000;1711792470000;17726;6494;-;171.7;0.2;295944192;4557074432;297791488;4614062080;41792635;4204863;36475;12584;0;4608000;11;10;/data/work/ac/5b2c78b678cced8f6e998be8eacf72;-;-
61;cpu03;ff/77280e;nf-ff77280e12ab807376d098e107a57d77;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711792453533;1711792464000;1711792470000;16467;6532;-;90.4;0.1;98480128;4510851072;98480128;4510916608;51679769;40456;13200;111;0;208896;53;191;/data/work/ff/77280e12ab807376d098e107a57d77;-;-
2;cpu08;9a/5a3a77;nf-9a5a3a772de766149ffa33d385db58fc;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711792451576;1711792459000;1711792470000;18424;10926;-;97.1;0.0;60907520;65286144;60907520;65302528;49257411;33434043;1704;50;0;33468416;226;1020;/data/work/9a/5a3a772de766149ffa33d385db58fc;-;-
6;cpu03;1e/43f552;nf-1e43f5523bdf8ee0df22a353edb07c4d;FASTQC;OSMOTIC_STRESS_T0_R2_T1;FASTQC (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792451713;1711792464000;1711792470000;18287;6731;-;233.7;0.2;282636288;4557074432;282738688;4614062080;41606289;4172428;36177;12548;0;4587520;11;11;/data/work/1e/43f5523bdf8ee0df22a353edb07c4d;-;-
11;cpu09;37/20419b;nf-3720419b421b31eb704a785c21a66075;TRIMGALORE;OSMOTIC_STRESS_T0_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711792452211;1711792462000;1711792473000;20789;10171;-;224.2;0.2;247373824;3212267520;254930944;3269255168;344133839;294033595;56570;25715;0;25018368;4713;144;/data/work/37/20419b421b31eb704a785c21a66075;-;-
24;cpu09;82/2a28fb;nf-822a28fb4ce1515f40733ddbb10b700b;FASTQC;OSMOTIC_STRESS_T15A_R1_T1;FASTQC (OSMOTIC_STRESS_T15A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792452305;1711792470000;1711792476000;23695;5514;-;182.8;0.2;279969792;4557074432;280068096;4611964928;41810395;4175259;36443;12514;0;4608000;11;8;/data/work/82/2a28fb4ce1515f40733ddbb10b700b;-;-
25;cpu10;a6/ebb01a;nf-a6ebb01affef190b062b510c7d2708f3;FASTQC;OSMOTIC_STRESS_T15A_R2_T1;FASTQC (OSMOTIC_STRESS_T15A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792452396;1711792471000;1711792476000;23604;5541;-;199.2;0.2;290041856;4561367040;290041856;4616159232;41792303;4204955;36448;12561;0;4579328;11;8;/data/work/a6/ebb01affef190b062b510c7d2708f3;-;-
28;cpu10;3b/7520b6;nf-3b7520b65c73cd01cef7364aba9e0c20;FASTQC;OSMOTIC_STRESS_T15B_R1_T1;FASTQC (OSMOTIC_STRESS_T15B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792452434;1711792471000;1711792477000;24566;6496;-;172.1;0.2;292020224;4557074432;293371904;4611964928;41811019;4175258;36473;12514;0;4603904;11;9;/data/work/3b/7520b65c73cd01cef7364aba9e0c20;-;-
29;cpu08;66/8df06c;nf-668df06cd59afec177795b820733dee6;FASTQC;OSMOTIC_STRESS_T15B_R2_T1;FASTQC (OSMOTIC_STRESS_T15B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792452528;1711792472000;1711792480000;27472;8871;-;223.5;0.2;301838336;4557074432;302759936;4614062080;41795532;4204958;36581;12538;0;4599808;11;4;/data/work/66/8df06cd59afec177795b820733dee6;-;-
32;cpu08;f0/84f728;nf-f084f72854e3fbc4bf3353a96c913fcc;FASTQC;OSMOTIC_STRESS_T15C_R1_T1;FASTQC (OSMOTIC_STRESS_T15C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792452561;1711792471000;1711792480000;27439;8975;-;223.1;0.2;300879872;4557074432;303501312;4614062080;41797508;4175255;36579;12537;0;4575232;11;7;/data/work/f0/84f72854e3fbc4bf3353a96c913fcc;-;-
33;cpu02;c4/d5bbb3;nf-c4d5bbb343780973a04594c1c66c9c09;FASTQC;OSMOTIC_STRESS_T15C_R2_T1;FASTQC (OSMOTIC_STRESS_T15C_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792452666;1711792472000;1711792479000;26334;6691;-;224.5;0.2;287010816;4557074432;287010816;4614062080;41794319;4204955;36537;12561;0;4595712;11;14;/data/work/c4/d5bbb343780973a04594c1c66c9c09;-;-
36;cpu02;b0/c2ac81;nf-b0c2ac81a1e25e0a0b57f1d9ace49ab6;FASTQC;OSMOTIC_STRESS_T15D_R1_T1;FASTQC (OSMOTIC_STRESS_T15D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792452700;1711792472000;1711792479000;26300;6733;-;212.0;0.2;269262848;4557074432;269365248;4614062080;41812797;4175256;36548;12537;0;4571136;11;6;/data/work/b0/c2ac81a1e25e0a0b57f1d9ace49ab6;-;-
37;cpu09;5b/20bcb5;nf-5b20bcb5c17051a563fcb043e88a9886;FASTQC;OSMOTIC_STRESS_T15D_R2_T1;FASTQC (OSMOTIC_STRESS_T15D_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792452799;1711792472000;1711792479000;26201;6528;-;160.4;0.2;290492416;4557074432;292585472;4617908224;41783966;4204956;36457;12584;0;4653056;11;11;/data/work/5b/20bcb5c17051a563fcb043e88a9886;-;-
40;cpu03;86/c2d7fd;nf-86c2d7fdeee28cfe4b2104b0ea906a9e;FASTQC;OSMOTIC_STRESS_T15E_R1_T1;FASTQC (OSMOTIC_STRESS_T15E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792452832;1711792473000;1711792480000;27168;6762;-;228.3;0.2;281620480;4557074432;281620480;4617908224;41812560;4175258;36528;12491;0;4571136;11;11;/data/work/86/c2d7fdeee28cfe4b2104b0ea906a9e;-;-
41;cpu03;ad/4fd3c4;nf-ad4fd3c4d5c165d50185fb9980d9e67a;FASTQC;OSMOTIC_STRESS_T15E_R2_T1;FASTQC (OSMOTIC_STRESS_T15E_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711792452932;1711792473000;1711792480000;27068;6815;-;230.7;0.2;280100864;4557074432;281403392;4614062080;41793900;4204955;36496;12584;0;4579328;11;11;/data/work/ad/4fd3c4d5c165d50185fb9980d9e67a;-;-
