task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu10;40/39b5bd;nf-4039b5bd76ffdc44ff207d8fc73e655c;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711759275655;1711759284000;1711759293000;17345;4987;-;1.4;0.0;3403776;5615616;3403776;5632000;613411;3284;225;13;0;4096;2;0;/data/work/40/39b5bd76ffdc44ff207d8fc73e655c;-;-
3;cpu02;ec/c5aab0;nf-ecc5aab0010f35d53f09f2b2b9ac8c05;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1711759295727;1711759301000;1711759302000;6273;482;-;96.4;0.0;3231744;5615616;3231744;5632000;12185419;400813;1619;61;0;401408;2;3;/data/work/ec/c5aab0010f35d53f09f2b2b9ac8c05;-;-
4;cpu02;49/bc353d;nf-49bc353d91348de45f0231379a196f1a;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711759295773;1711759301000;1711759302000;6227;426;-;32.2;0.0;3321856;5615616;3321856;5632000;12988133;1259;463;17;0;16384;2;2;/data/work/49/bc353d91348de45f0231379a196f1a;-;-
62;cpu09;e7/f14dbb;nf-e7f14dbb19624c4f44a50b2c0edad1b2;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711759297879;1711759305000;1711759305000;7121;312;-;68.6;0.0;13004800;18968576;13004800;18984960;3550771;1315234;582;13;0;1318912;11;4;/data/work/e7/f14dbb19624c4f44a50b2c0edad1b2;-;-
61;cpu02;4c/35259d;nf-4c35259d6298d325c3fd811bdbfba0b8;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711759297848;1711759301000;1711759308000;10152;6337;-;90.0;0.1;100765696;4515516416;100765696;4515581952;51678986;40455;13148;111;0;217088;54;151;/data/work/4c/35259d6298d325c3fd811bdbfba0b8;-;-
63;cpu09;c1/f14960;nf-c1f14960868e1b32085af61b3cb06f73;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711759305053;1711759306000;1711759307000;1947;121;-;38.0;0.0;3211264;5615616;3211264;5632000;854737;611005;230;39;0;212992;2;2;/data/work/c1/f14960868e1b32085af61b3cb06f73;-;-
2;cpu10;63/ee247a;nf-63ee247ae783a59a923ec13d0cc54110;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711759295669;1711759305000;1711759311000;15331;5781;-;93.9;0.0;60694528;65286144;60694528;65302528;49257483;33434039;1704;50;0;33468416;302;551;/data/work/63/ee247ae783a59a923ec13d0cc54110;-;-
11;cpu02;2e/0b12a7;nf-2e0b12a79401b49955cb44afa91797bd;TRIMGALORE;OSMOTIC_STRESS_T0_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711759296442;1711759301000;1711759314000;17558;12546;-;260.5;0.1;203845632;3208081408;203845632;3269263360;344136222;294033595;56005;25715;0;24969216;4341;221;/data/work/2e/0b12a79401b49955cb44afa91797bd;-;-
10;cpu02;28/c468b3;nf-28c468b32adecdc2f4794c8c00d5326a;TRIMGALORE;OSMOTIC_STRESS_T0_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711759296476;1711759301000;1711759314000;17524;12556;-;262.5;0.1;199766016;3208187904;201031680;3269369856;341842955;291748828;56415;25530;0;24842240;4339;233;/data/work/28/c468b32adecdc2f4794c8c00d5326a;-;-
12;cpu09;ae/fd19a8;nf-aefd19a8d29c915b6cc5fffb2a470772;TRIMGALORE;OSMOTIC_STRESS_T0A_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711759296577;1711759305000;1711759315000;18423;10252;-;223.2;0.2;258121728;3212382208;262795264;3269369856;341841093;291749039;56549;25576;0;24776704;4485;153;/data/work/ae/fd19a8d29c915b6cc5fffb2a470772;-;-
