task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu08;d7/99e58f;nf-d799e58f023f781a29a03019c7d2dce7;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711758567360;1711758569000;1711758578000;10640;4970;-;1.2;0.0;3334144;5615616;3334144;5632000;613330;3284;225;13;0;4096;2;2;/data/work/d7/99e58f023f781a29a03019c7d2dce7;-;-
3;cpu08;5b/c2a01a;nf-5bc2a01af67ff6d6b875de07d6a9c5f8;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1711758583386;1711758584000;1711758588000;4614;3396;-;19.3;0.0;25096192;32010240;25096192;32034816;12185422;400812;1619;61;0;401408;6;40;/data/work/5b/c2a01af67ff6d6b875de07d6a9c5f8;-;-
4;cpu08;07/f0bbec;nf-07f0bbec1f074aa13001360418353507;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711758583436;1711758587000;1711758587000;3564;205;-;79.8;0.0;3403776;5615616;3403776;5632000;12988135;1258;463;17;0;16384;2;2;/data/work/07/f0bbec1f074aa13001360418353507;-;-
62;cpu08;cd/fb1d57;nf-cdfb1d5790d25040d91b8d089761ddd8;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711758585451;1711758587000;1711758588000;2549;470;-;89.2;0.0;3313664;5615616;3313664;5632000;3550774;1315233;582;13;0;1318912;2;3;/data/work/cd/fb1d5790d25040d91b8d089761ddd8;-;-
18;cpu09;dc/2f4ad0;nf-dc2f4ad08d86d515b27ccd6913b118f4;FASTQC;OSMOTIC_STRESS_T0E_R1_T1;FASTQC (OSMOTIC_STRESS_T0E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711758583910;1711758590000;1711758595000;11090;5538;-;191.7;0.2;295563264;4557074432;297902080;4611964928;41558764;4199970;35973;12535;0;4591616;10;4;/data/work/dc/2f4ad08d86d515b27ccd6913b118f4;-;-
61;cpu08;ae/6b93e4;nf-ae6b93e47cdcc99d68b92434b9808685;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711758585425;1711758587000;1711758595000;9575;7920;-;90.3;0.1;82284544;4511633408;82284544;4511698944;51679363;40455;13188;111;0;212992;53;147;/data/work/ae/6b93e47cdcc99d68b92434b9808685;-;-
63;cpu10;a9/35856f;nf-a935856f66970a54025d69954dfa5963;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711758592221;1711758593000;1711758594000;1779;205;-;18.6;0.0;3190784;5615616;3190784;5632000;854821;611004;230;39;0;212992;2;2;/data/work/a9/35856f66970a54025d69954dfa5963;-;-
2;cpu08;1d/ce3b1b;nf-1dce3b1b8c157688b873e2f1282719d6;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711758583329;1711758584000;1711758598000;14671;13927;-;78.5;0.0;60551168;65286144;60551168;65302528;49257407;33434042;1704;50;0;33468416;95;727;/data/work/1d/ce3b1b8c157688b873e2f1282719d6;-;-
6;cpu08;6e/dc5f22;nf-6edc5f2254fff9622bd44d89c327f25f;FASTQC;OSMOTIC_STRESS_T0_R2_T1;FASTQC (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711758583470;1711758587000;1711758597000;13530;9109;-;203.5;0.2;271376384;4557074432;271822848;4611964928;41608419;4172426;36284;12502;0;4681728;11;11;/data/work/6e/dc5f2254fff9622bd44d89c327f25f;-;-
5;cpu10;8c/2102b1;nf-8c2102b1bef6aba5d8e2b852bf9c0474;FASTQC;OSMOTIC_STRESS_T0_R1_T1;FASTQC (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711758583511;1711758590000;1711758596000;12489;5588;-;187.4;0.2;294277120;4557074432;297431040;4611964928;41559068;4199873;35999;12604;0;4603904;10;4;/data/work/8c/2102b1bef6aba5d8e2b852bf9c0474;-;-
