task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu08;a7/6b0930;nf-a76b09306fe77da3850d6b2f251e6c8b;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711800697973;1711800706000;1711800714000;16027;4973;-;1.2;0.0;3280896;5615616;3280896;5632000;613336;3285;225;13;0;4096;2;2;/data/work/a7/6b09306fe77da3850d6b2f251e6c8b;-;-
6;cpu09;a7/e0705e;nf-a7e0705e6a3c3985bfc9c76170d2400c;FASTQC;OSMOTIC_STRESS_T0_R2_T1;FASTQC (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711800717707;1711800718000;1711800723000;5293;4543;-;218.4;0.2;235413504;4554977280;237494272;4611964928;41595421;4172427;36041;12548;0;4567040;11;30;/data/work/a7/e0705e6a3c3985bfc9c76170d2400c;-;-
4;cpu02;03/5c55cf;nf-035c55cfabcc8e80e79964d8bcd8db5f;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711800717764;1711800725000;1711800726000;8236;180;-;74.3;0.0;3309568;5615616;3309568;5632000;12988134;1259;463;17;0;16384;3;5;/data/work/03/5c55cfabcc8e80e79964d8bcd8db5f;-;-
13;cpu09;1e/f77ede;nf-1ef77ede6b363550b35dfdef48315e92;FASTQC;OSMOTIC_STRESS_T0B_R2_T1;FASTQC (OSMOTIC_STRESS_T0B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711800717878;1711800718000;1711800724000;6122;5558;-;193.8;0.2;288116736;4557074432;290586624;4611964928;41596035;4172520;36073;12502;0;4591616;11;3;/data/work/1e/f77ede6b363550b35dfdef48315e92;-;-
18;cpu09;9e/cc787c;nf-9ecc787cd9ae4e1d62fe71ba052f1a24;FASTQC;OSMOTIC_STRESS_T0E_R1_T1;FASTQC (OSMOTIC_STRESS_T0E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711800718015;1711800718000;1711800723000;4985;4754;-;218.6;0.2;233963520;4552880128;233963520;4614062080;41558785;4199971;35978;12535;0;4599808;11;4;/data/work/9e/cc787cd9ae4e1d62fe71ba052f1a24;-;-
61;cpu09;5b/9712d1;nf-5b9712d1a12a35baab9404e664962641;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711800719205;1711800720000;1711800726000;6795;6064;-;75.4;0.1;76992512;4551360512;76992512;4551426048;51679609;40442;13150;111;0;229376;54;84;/data/work/5b/9712d1a12a35baab9404e664962641;-;-
62;cpu08;11/effea9;nf-11effea93fd54dc0aaba91a037c34e6a;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711800719226;1711800727000;1711800728000;8774;507;-;73.7;0.0;11505664;17629184;11505664;17645568;3550781;1315234;582;13;0;1318912;11;12;/data/work/11/effea93fd54dc0aaba91a037c34e6a;-;-
2;cpu10;98/d59330;nf-98d59330637bb53d844787a48f6b8e85;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711800717636;1711800725000;1711800731000;13364;5670;-;94.9;0.0;60973056;65286144;60973056;65302528;49257484;33434039;1704;50;0;33468416;383;554;/data/work/98/d59330637bb53d844787a48f6b8e85;-;-
3;cpu03;6a/8d4017;nf-6a8d40177d6afb5003fb9e87a4d0d873;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1711800717673;1711800727000;1711800728000;10327;465;-;98.8;0.0;3223552;5615616;3223552;5632000;12185430;400814;1619;61;0;401408;8;7;/data/work/6a/8d40177d6afb5003fb9e87a4d0d873;-;-
7;cpu02;9f/ae3857;nf-9fae3857b09917227b9b36c56077d8dd;FASTQC;OSMOTIC_STRESS_T0A_R1_T1;FASTQC (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711800717793;1711800725000;1711800732000;14207;6718;-;232.9;0.2;279666688;4557074432;280489984;4616159232;41561228;4199971;36063;12558;0;4620288;11;10;/data/work/9f/ae3857b09917227b9b36c56077d8dd;-;-
14;cpu02;f2/6b6335;nf-f26b6335b0b17bbb1027f875e7e6f202;FASTQC;OSMOTIC_STRESS_T0C_R1_T1;FASTQC (OSMOTIC_STRESS_T0C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711800717903;1711800725000;1711800732000;14097;6725;-;215.7;0.2;284860416;4557074432;285028352;4616159232;41560899;4199970;36081;12627;0;4620288;11;9;/data/work/f2/6b6335b0b17bbb1027f875e7e6f202;-;-
16;cpu10;5a/523f6b;nf-5a523f6b379568db845e1c1afacd55c6;FASTQC;OSMOTIC_STRESS_T0D_R1_T1;FASTQC (OSMOTIC_STRESS_T0D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711800717962;1711800725000;1711800730000;12038;4562;-;230.2;0.2;249143296;4554977280;249143296;4611964928;41550892;4199970;35972;12535;0;4587520;12;11;/data/work/5a/523f6b379568db845e1c1afacd55c6;-;-
19;cpu02;25/7a7aef;nf-257a7aefda2754922b325a505d43d16f;FASTQC;OSMOTIC_STRESS_T0E_R2_T1;FASTQC (OSMOTIC_STRESS_T0E_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711800718107;1711800725000;1711800732000;13893;6728;-;232.8;0.2;280227840;4557074432;281415680;4614062080;41606270;4172519;36147;12548;0;4620288;11;13;/data/work/25/7a7aefda2754922b325a505d43d16f;-;-
21;cpu10;10/42eb25;nf-1042eb255b7293739d7866cd571a15c0;FASTQC;OSMOTIC_STRESS_T0F_R2_T1;FASTQC (OSMOTIC_STRESS_T0F_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711800718156;1711800725000;1711800731000;12844;5501;-;200.5;0.2;289386496;4557074432;294252544;4614062080;41588008;4172518;36078;12525;0;4599808;11;9;/data/work/10/42eb255b7293739d7866cd571a15c0;-;-
24;cpu09;98/985b72;nf-98985b723aa14e4f3dfb1ee4ad90f9cd;FASTQC;OSMOTIC_STRESS_T15_R1_T1;FASTQC (OSMOTIC_STRESS_T15_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711800718239;1711800725000;1711800732000;13761;6505;-;179.4;0.2;293097472;4557074432;298016768;4616159232;41802613;4175164;36459;12560;0;4587520;11;4;/data/work/98/985b723aa14e4f3dfb1ee4ad90f9cd;-;-
5;cpu08;6e/a13771;nf-6ea13771b662b988647fcebafefef8aa;FASTQC;OSMOTIC_STRESS_T0_R1_T1;FASTQC (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711800717736;1711800727000;1711800736000;18264;8906;-;211.4;0.2;284049408;4557074432;287072256;4614062080;41562391;4199874;36148;12558;0;4612096;11;8;/data/work/6e/a13771b662b988647fcebafefef8aa;-;-
