task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu03;1e/e43c59;nf-1ee43c59f09f993c168761d3e64a5b60;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711757883275;1711757892000;1711757898000;14725;4965;-;1.4;0.0;3239936;5615616;3239936;5632000;613338;3286;225;13;0;4096;2;2;/data/work/1e/e43c59f09f993c168761d3e64a5b60;-;-
3;cpu08;aa/021e28;nf-aa021e28360595803b5aca2098dd2466;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1711757902971;1711757903000;1711757904000;1029;642;-;90.9;0.0;3178496;5615616;3178496;5632000;12185422;400812;1619;61;0;401408;2;0;/data/work/aa/021e28360595803b5aca2098dd2466;-;-
4;cpu10;65/c7815f;nf-65c7815f1e0e9d1f087d9740e1f3e828;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711757903132;1711757906000;1711757906000;2868;163;-;69.6;0.0;3264512;5615616;3264512;5632000;12988215;1258;463;17;0;16384;2;2;/data/work/65/c7815f1e0e9d1f087d9740e1f3e828;-;-
61;cpu09;ff/335499;nf-ff3354992816594885646d23eecab8ae;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711757904472;1711757905000;1711757909000;4528;4547;-;91.9;0.0;69783552;4421070848;69783552;4485984256;51678927;40440;13151;111;0;208896;37;76;/data/work/ff/3354992816594885646d23eecab8ae;-;-
62;cpu09;17/3d6613;nf-173d66136c1a8e5308dc33b0603d5d48;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711757904495;1711757905000;1711757906000;1505;281;-;75.5;0.0;3227648;5615616;3227648;5632000;3550771;1315234;582;13;0;1318912;2;2;/data/work/17/3d66136c1a8e5308dc33b0603d5d48;-;-
2;cpu09;72/a9b36d;nf-72a9b36d9c0712ad6100e8a5736b19e3;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711757902931;1711757905000;1711757911000;8069;5925;-;94.1;0.0;60710912;65286144;60710912;65302528;49257401;33434040;1704;50;0;33468416;220;520;/data/work/72/a9b36d9c0712ad6100e8a5736b19e3;-;-
5;cpu10;a0/f542d8;nf-a0f542d8e47e81554e9c95cfa186031c;FASTQC;OSMOTIC_STRESS_T0_R1_T1;FASTQC (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711757903003;1711757906000;1711757911000;7997;5550;-;201.4;0.2;285147136;4557074432;289701888;4614062080;41551048;4199873;35988;12604;0;4640768;11;11;/data/work/a0/f542d8e47e81554e9c95cfa186031c;-;-
63;cpu08;f8/ddbd2e;nf-f8ddbd2ef1ae0d520a4686c32453aa2d;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711757908172;1711757909000;1711757909000;828;170;-;27.7;0.0;3334144;5615616;3334144;5632000;854742;611004;230;39;0;212992;2;2;/data/work/f8/ddbd2ef1ae0d520a4686c32453aa2d;-;-
11;cpu08;8b/7f30ae;nf-8b7f30ae257022e7682f59535977c43d;FASTQC;OSMOTIC_STRESS_T0A_R2_T1;FASTQC (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711757903101;1711757903000;1711757913000;9899;8991;-;231.1;0.2;281653248;4557074432;281653248;4614062080;41608527;4172520;36216;12548;0;4644864;11;8;/data/work/8b/7f30ae257022e7682f59535977c43d;-;-
14;cpu10;1a/518ccc;nf-1a518cccb7a03b4f73d25e55ead72f12;FASTQC;OSMOTIC_STRESS_T0C_R1_T1;FASTQC (OSMOTIC_STRESS_T0C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711757903218;1711757906000;1711757912000;8782;6543;-;176.8;0.2;294227968;4557074432;295981056;4614062080;41559409;4199969;36004;12581;0;4681728;11;14;/data/work/1a/518cccb7a03b4f73d25e55ead72f12;-;-
15;cpu08;67/c1f860;nf-67c1f860caebbb5d99ccb20e26d7604f;FASTQC;OSMOTIC_STRESS_T0C_R2_T1;FASTQC (OSMOTIC_STRESS_T0C_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711757903245;1711757904000;1711757913000;9755;9006;-;212.0;0.2;284942336;4557074432;285044736;4614062080;41599956;4172517;36255;12548;0;4657152;11;38;/data/work/67/c1f860caebbb5d99ccb20e26d7604f;-;-
8;cpu09;03/f433b9;nf-03f433b9ff537ca75f3dbac388908b47;TRIMGALORE;OSMOTIC_STRESS_T0_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711757903273;1711757905000;1711757915000;11727;10275;-;217.9;0.2;249774080;3212353536;253530112;3269341184;341841221;291748852;56248;25553;0;24858624;3997;135;/data/work/03/f433b9ff537ca75f3dbac388908b47;-;-
17;cpu10;52/9d1296;nf-529d12966acc7dd9dcdd41df16b6e82e;FASTQC;OSMOTIC_STRESS_T0D_R2_T1;FASTQC (OSMOTIC_STRESS_T0D_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711757903353;1711757906000;1711757912000;8647;6541;-;175.3;0.2;299528192;4557074432;301613056;4614062080;41596551;4172519;36087;12548;0;4677632;11;13;/data/work/52/9d12966acc7dd9dcdd41df16b6e82e;-;-
18;cpu08;48/d9d229;nf-48d9d229fa0c975808fb513ba6d1909f;FASTQC;OSMOTIC_STRESS_T0E_R1_T1;FASTQC (OSMOTIC_STRESS_T0E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711757903403;1711757904000;1711757913000;9597;9094;-;202.5;0.2;295628800;4557074432;298016768;4617908224;41562245;4199969;36113;12558;0;4710400;11;11;/data/work/48/d9d229fa0c975808fb513ba6d1909f;-;-
6;cpu03;40/b19f1f;nf-40b19f1fc58cd8a202b0057f9474fc27;FASTQC;OSMOTIC_STRESS_T0_R2_T1;FASTQC (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711757903039;1711757912000;1711757919000;15961;6696;-;234.6;0.2;272424960;4557713408;272424960;4611964928;41597909;4172428;36153;12525;0;4612096;11;11;/data/work/40/b19f1fc58cd8a202b0057f9474fc27;-;-
7;cpu02;14/a63bd1;nf-14a63bd161f9e740b27d9b83e6a57a68;FASTQC;OSMOTIC_STRESS_T0A_R1_T1;FASTQC (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1711757903071;1711757911000;1711757918000;14929;6744;-;213.1;0.2;265457664;4557074432;265560064;4617908224;41561366;4199971;36104;12558;0;4591616;11;5;/data/work/14/a63bd161f9e740b27d9b83e6a57a68;-;-
