task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu10;ac/5d4af7;nf-ac5d4af7fc3f608afd4d0531e647ef5e;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711806042387;1711806051000;1711806059000;16613;4974;-;1.2;0.0;3248128;5615616;3248128;5632000;613412;3285;225;13;0;4096;2;0;/data/work/ac/5d4af7fc3f608afd4d0531e647ef5e;-;-
3;cpu09;f5/ceef1c;nf-f5ceef1cf91dbe9a7a8c6fe962f62c8d;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1711806062005;1711806062000;1711806065000;2995;858;-;33.6;0.0;3244032;5615616;3244032;5632000;12185422;400814;1619;61;0;401408;2;0;/data/work/f5/ceef1cf91dbe9a7a8c6fe962f62c8d;-;-
62;cpu03;38/ffdbad;nf-38ffdbad4197c0394702c9d5c03e86ec;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711806063948;1711806068000;1711806069000;5052;369;-;79.3;0.0;3239936;5615616;3239936;5632000;3550781;1315235;582;13;0;1318912;8;8;/data/work/38/ffdbad4197c0394702c9d5c03e86ec;-;-
63;cpu09;64/6884e4;nf-646884e4f9b6eb3e7722268e532adc27;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711806067256;1711806068000;1711806068000;744;171;-;22.3;0.0;3301376;5615616;3301376;5632000;854742;611006;230;39;0;212992;2;3;/data/work/64/6884e4f9b6eb3e7722268e532adc27;-;-
4;cpu10;45/32c431;nf-4532c431b656d5b995fefa5b30ceda57;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711806062123;1711806071000;1711806072000;9877;187;-;60.8;0.0;3239936;5615616;3239936;5632000;12988215;1259;463;17;0;16384;4;2;/data/work/45/32c431b656d5b995fefa5b30ceda57;-;-
28;cpu09;ec/9834b2;nf-ec9834b2e7a8a46dc49d4adf00b64129;TRIMGALORE;OSMOTIC_STRESS_T0A_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711806062843;1711806064000;1711806075000;12157;10251;-;222.1;0.2;272228352;3212361728;277032960;3269349376;344134071;294033766;56081;25738;0;24956928;3953;133;/data/work/ec/9834b2e7a8a46dc49d4adf00b64129;-;-
33;cpu09;b1/9c7bc8;nf-b19c7bc8a5f6e51d2bc6b5aad6cc294c;TRIMGALORE;OSMOTIC_STRESS_T0C_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711806063042;1711806064000;1711806075000;11958;10206;-;230.0;0.2;261619712;3212267520;266088448;3267158016;341841178;291749023;56251;25553;0;24805376;4276;158;/data/work/b1/9c7bc8a5f6e51d2bc6b5aad6cc294c;-;-
2;cpu10;83/c4db20;nf-83c4db20647b94b79d696ad21e71d036;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711806061948;1711806072000;1711806077000;15052;5751;-;94.0;0.0;60559360;65286144;60559360;65302528;49257484;33434040;1704;50;0;33468416;419;498;/data/work/83/c4db20647b94b79d696ad21e71d036;-;-
12;cpu02;d8/cf9376;nf-d8cf937623c6771fec347d91bf5c7b77;TRIMGALORE;OSMOTIC_STRESS_T0_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711806062684;1711806068000;1711806081000;18316;12501;-;263.5;0.1;202772480;3208183808;202772480;3267268608;344135758;294033594;56561;25761;0;24948736;3693;198;/data/work/d8/cf937623c6771fec347d91bf5c7b77;-;-
13;cpu03;11/1e43d4;nf-111e43d499e1f90a268752441c834376;TRIMGALORE;OSMOTIC_STRESS_T0A_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711806062808;1711806068000;1711806081000;18192;12507;-;259.1;0.1;194404352;3208069120;195624960;3269251072;341843043;291749024;56089;25599;0;24788992;3546;204;/data/work/11/1e43d499e1f90a268752441c834376;-;-
