task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu08;38/156edb;nf-38156edbdcc53465dd33a6f3fb1e15c8;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711796653695;1711796659000;1711796669000;15305;4969;-;1.2;0.0;3166208;5615616;3166208;5632000;613337;3285;225;13;0;4096;2;0;/data/work/38/156edbdcc53465dd33a6f3fb1e15c8;-;-
62;cpu09;a9/c17f5b;nf-a9c17f5baee4207e8e9a4872e0703481;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711796675251;1711796676000;1711796676000;749;249;-;78.0;0.0;3235840;5615616;3235840;5632000;3550773;1315235;582;13;0;1318912;2;2;/data/work/a9/c17f5baee4207e8e9a4872e0703481;-;-
3;cpu10;11/69320d;nf-1169320d9f888c74ac1d0e675973f55e;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1711796673342;1711796678000;1711796679000;5658;306;-;92.6;0.0;3284992;5615616;3284992;5632000;12185501;400812;1619;61;0;401408;3;1;/data/work/11/69320d9f888c74ac1d0e675973f55e;-;-
4;cpu02;10/e576c0;nf-10e576c0113876c8f726b7d15c7697c5;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711796673393;1711796678000;1711796678000;4607;226;-;59.8;0.0;4849664;12120064;4849664;12136448;12988134;1259;463;17;0;16384;13;9;/data/work/10/e576c0113876c8f726b7d15c7697c5;-;-
14;cpu10;2b/1f6359;nf-2b1f6359a7d631072b7e67017920fdb0;TRIMGALORE;OSMOTIC_STRESS_T0_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711796674003;1711796678000;1711796688000;13997;9241;-;243.3;0.2;272171008;3212267520;277274624;3267158016;344133481;294033593;56071;25715;0;24952832;4190;149;/data/work/2b/1f6359a7d631072b7e67017920fdb0;-;-
15;cpu09;37/36af30;nf-3736af30cdf1539cca65d276f96776c1;TRIMGALORE;OSMOTIC_STRESS_T0A_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711796674137;1711796676000;1711796686000;11863;9445;-;238.2;0.2;263655424;3212357632;268271616;3269345280;341841480;291749024;56008;25507;0;24793088;2878;157;/data/work/37/36af30cdf1539cca65d276f96776c1;-;-
28;cpu10;d8/7f691e;nf-d87f691e94d0bb5b32979bfb778f18f8;TRIMGALORE;OSMOTIC_STRESS_T0A_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711796674201;1711796678000;1711796688000;13799;9195;-;238.6;0.2;267218944;3212382208;267317248;3267272704;344133810;294033764;56619;25738;0;24952832;4723;162;/data/work/d8/7f691e94d0bb5b32979bfb778f18f8;-;-
29;cpu09;25/9b2ec3;nf-259b2ec3a3e397a252ba86574b7a60e3;TRIMGALORE;OSMOTIC_STRESS_T0B_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711796674262;1711796676000;1711796687000;12738;10462;-;216.8;0.2;286470144;3212267520;289923072;3269255168;341833117;291749024;56509;25530;0;24809472;3231;148;/data/work/25/9b2ec3a3e397a252ba86574b7a60e3;-;-
61;cpu03;70/9673bf;nf-709673bf852650d1cb29d604056f244c;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711796675220;1711796681000;1711796688000;12780;6227;-;91.0;0.1;88203264;4516499456;88203264;4516564992;51679969;40456;13225;111;0;208896;53;165;/data/work/70/9673bf852650d1cb29d604056f244c;-;-
63;cpu02;3c/7c38f3;nf-3c7c38f38217e139f648ab89918c76b5;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711796683401;1711796684000;1711796684000;599;77;-;56.1;0.0;3194880;5615616;3194880;5632000;854741;611005;230;39;0;212992;2;3;/data/work/3c/7c38f38217e139f648ab89918c76b5;-;-
