task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu08;6d/51a61b;nf-6d51a61b839604b2e16ac2c1174a608a;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711757209778;1711757211000;1711757218000;8222;4975;-;1.2;0.0;3174400;5615616;3174400;5632000;613330;3284;225;13;0;4096;2;2;/data/work/6d/51a61b839604b2e16ac2c1174a608a;-;-
3;cpu09;3c/90de1c;nf-3c90de1c636df9ad3c5b0a82c2d3e771;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1711757228344;1711757230000;1711757231000;2656;674;-;42.3;0.0;3387392;5615616;3387392;5632000;12185418;400813;1619;61;0;401408;2;2;/data/work/3c/90de1c636df9ad3c5b0a82c2d3e771;-;-
4;cpu09;34/76c3ed;nf-3476c3ed6d31b4bf839bbe4f720c7ba0;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711757228392;1711757232000;1711757233000;4608;143;-;79.3;0.0;3309568;5615616;3309568;5632000;12988131;1259;463;17;0;16384;3;2;/data/work/34/76c3ed6d31b4bf839bbe4f720c7ba0;-;-
62;cpu08;9e/023986;nf-9e023986ebb44f273121347df3346457;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711757230509;1711757232000;1711757233000;2491;459;-;81.6;0.0;11722752;18055168;11722752;18071552;3550774;1315233;582;13;0;1318912;4;6;/data/work/9e/023986ebb44f273121347df3346457;-;-
61;cpu09;58/648e86;nf-58648e86e4433ec02cafdf921e694d18;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711757230481;1711757232000;1711757237000;6519;4551;-;90.7;0.0;70111232;4421070848;70111232;4485984256;51678806;40456;13131;111;0;233472;37;70;/data/work/58/648e86e4433ec02cafdf921e694d18;-;-
63;cpu03;4a/e97ca7;nf-4ae97ca7ac09278cb3e0bd37b0534c14;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1711757234106;1711757237000;1711757237000;2894;54;-;59.5;0.0;3239936;5615616;3239936;5632000;854747;611006;230;39;0;212992;3;1;/data/work/4a/e97ca7ac09278cb3e0bd37b0534c14;-;-
2;cpu08;a6/02385a;nf-a602385acbecda92c4e723bd70acc957;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711757228289;1711757229000;1711757241000;12711;11742;-;93.4;0.0;60755968;65286144;60755968;65302528;49257406;33434042;1704;50;0;33468416;460;963;/data/work/a6/02385acbecda92c4e723bd70acc957;-;-
9;cpu09;a4/ec4536;nf-a4ec4536fa705a6586152f00d3c984d3;TRIMGALORE;OSMOTIC_STRESS_T0_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711757229014;1711757232000;1711757242000;12986;10221;-;224.6;0.2;261951488;3212382208;264110080;3267272704;341840613;291748852;55963;25530;0;24809472;4518;186;/data/work/a4/ec4536fa705a6586152f00d3c984d3;-;-
10;cpu10;52/952198;nf-5295219853ce240dff8b585ba4bb757d;TRIMGALORE;OSMOTIC_STRESS_T0_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711757229052;1711757233000;1711757243000;13948;10183;-;221.4;0.2;271011840;3212263424;273616896;3267153920;344133664;294033593;56331;25715;0;24956928;4272;200;/data/work/52/95219853ce240dff8b585ba4bb757d;-;-
11;cpu09;03/b55e26;nf-03b55e2622d661aa68c3adb51c40e0fa;TRIMGALORE;OSMOTIC_STRESS_T0A_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711757229150;1711757232000;1711757242000;12850;10264;-;219.9;0.2;264896512;3212361728;264998912;3271446528;341841022;291749018;56003;25553;0;24809472;4163;147;/data/work/03/b55e2622d661aa68c3adb51c40e0fa;-;-
26;cpu10;5c/c8b62d;nf-5cc8b62defe7f3c411481e2c6428d610;TRIMGALORE;OSMOTIC_STRESS_T0A_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1711757229212;1711757233000;1711757243000;13788;10205;-;220.0;0.2;254242816;3213524992;258412544;3269341184;344133997;294033764;56725;25692;0;24956928;4616;259;/data/work/5c/c8b62defe7f3c411481e2c6428d610;-;-
