task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;minikube-m04;1b/89a847;nf-1b89a847794dba3b292bc563b627e20b;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;5368709120;1;1704307858634;1704307859000;1704307860000;1366;395;-;39.1;0.0;12398592;18477056;12451840;19136512;606813;3270;225;13;16384;4096;21;3;/data/work/1b/89a847794dba3b292bc563b627e20b;-;-
3;minikube-m03;e8/dca90b;nf-e8dca90b02d10b9b8ff5edb8554d9cdb;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;5368709120;1;1704307863192;1704307864000;1704307864000;808;459;-;90.5;0.0;10485760;17932288;10485760;17960960;12178901;400796;1619;61;12046336;401408;24;27;/data/work/e8/dca90b02d10b9b8ff5edb8554d9cdb;-;-
4;minikube-m03;cc/7aa97c;nf-cc7aa97c4efbefc13fd91c857e378f59;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;5368709120;1;1704307868083;1704307868000;1704307869000;917;221;-;57.0;0.0;6422528;12136448;6422528;12152832;12981614;1242;463;17;12369920;16384;10;48;/data/work/cc/7aa97c4efbefc13fd91c857e378f59;-;-
2;minikube-m02;5f/285d0c;nf-5f285d0ce4821c8422f02cae611065df;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;43200000;-;5368709120;1;1704307863105;1704307864000;1704307873000;9895;9610;-;96.8;0.1;60362752;65302528;60362752;65318912;49250882;33434023;1704;50;4096;33468416;404;177;/data/work/5f/285d0ce4821c8422f02cae611065df;-;-
6;minikube-m04;db/9258aa;nf-db9258aaede7c79532036188cd5665a2;FASTQC;OSMOTIC_STRESS_T0_R2_T1;FASTQC (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;28800000;-;5368709120;1;1704307863282;1704307864000;1704307873000;9718;8679;-;146.3;0.4;257212416;3537727488;257212416;3539382272;41532283;4172406;32364;12525;10575872;4673536;11;6;/data/work/db/9258aaede7c79532036188cd5665a2;-;-
5;minikube-m02;56/2ccad6;nf-562ccad6d7981d974a68b06c6ddaac87;FASTQC;OSMOTIC_STRESS_T0_R1_T1;FASTQC (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;28800000;-;5368709120;1;1704307863366;1704307864000;1704307873000;9634;8629;-;135.9;0.4;235171840;3537629184;235171840;3538112512;41495609;4199856;32301;12604;4096;4669440;11;25;/data/work/56/2ccad6d7981d974a68b06c6ddaac87;-;-
7;minikube-m04;fd/83631a;nf-fd83631a551f5f0c4850c23b320807b6;FASTQC;OSMOTIC_STRESS_T0A_R1_T1;FASTQC (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;28800000;-;5368709120;1;1704307873054;1704307874000;1704307882000;8946;8559;-;147.4;0.4;229072896;3538829312;229462016;3538845696;41495366;4199953;32300;12604;10534912;4792320;11;2;/data/work/fd/83631a551f5f0c4850c23b320807b6;-;-
11;minikube-m02;39/c10f96;nf-39c10f96f553f050d19be15dcee228f3;FASTQC;OSMOTIC_STRESS_T0A_R2_T1;FASTQC (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;28800000;-;5368709120;1;1704307878056;1704307878000;1704307888000;9944;9697;-;143.3;0.5;263094272;3537629184;263094272;3600560128;41541257;4172502;32369;12571;4096;4681728;11;10;/data/work/39/c10f96f553f050d19be15dcee228f3;-;-
12;minikube-m03;7b/b0b28f;nf-7bb0b28fc795f6d2f184c5ce2c0ac5f9;FASTQC;OSMOTIC_STRESS_T0B_R1_T1;FASTQC (OSMOTIC_STRESS_T0B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;28800000;-;5368709120;1;1704307878164;1704307878000;1704307887000;8836;8677;-;146.7;0.4;215056384;3535532032;215056384;3535548416;41495878;4199954;32302;12581;10534912;4632576;11;17;/data/work/7b/b0b28fc795f6d2f184c5ce2c0ac5f9;-;-
8;minikube-m04;c7/434810;nf-c743481059fcd0e50bc47a3f94415f52;TRIMGALORE;OSMOTIC_STRESS_T0_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;43200000;-;5368709120;1;1704307878224;1704307879000;1704307894000;15776;14898;-;157.4;0.5;301490176;3280560128;306397184;3285508096;257597271;207718858;49179;36135;4096;24932352;5664;1040;/data/work/c7/43481059fcd0e50bc47a3f94415f52;-;-
9;minikube-m02;d2/591453;nf-d2591453de8775ff66b3e94e8499de42;TRIMGALORE;OSMOTIC_STRESS_T0_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;43200000;-;5368709120;1;1704307888021;1704307888000;1704307904000;15979;15184;-;163.0;0.4;268570624;3280547840;269897728;3281911808;259431194;209552579;49339;36407;4096;25055232;6178;395;/data/work/d2/591453de8775ff66b3e94e8499de42;-;-
13;minikube-m03;5b/82165c;nf-5b82165cb12af813c9274243a0456e56;FASTQC;OSMOTIC_STRESS_T0B_R2_T1;FASTQC (OSMOTIC_STRESS_T0B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;28800000;-;5368709120;1;1704307893016;1704307893000;1704307902000;8984;8701;-;154.8;0.4;253362176;3538010112;253362176;3542044672;41533320;4172500;32368;12525;10575872;4673536;10;9;/data/work/5b/82165cb12af813c9274243a0456e56;-;-
14;minikube-m04;d2/865a7c;nf-d2865a7c573f5767a6cd3a6bba1c39c2;FASTQC;OSMOTIC_STRESS_T0C_R1_T1;FASTQC (OSMOTIC_STRESS_T0C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;28800000;-;5368709120;1;1704307893080;1704307893000;1704307902000;8920;8658;-;167.4;0.4;239280128;3535532032;239280128;3538284544;41496902;4199952;32306;12558;4096;4673536;11;11;/data/work/d2/865a7c573f5767a6cd3a6bba1c39c2;-;-
