task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;minikube-m02;7c/4036a1;nf-7c4036a195194badb5d2a64cf769f441;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;5368709120;1;1704305465186;1704305465000;1704305466000;814;209;-;47.8;0.0;12918784;19001344;12918784;19136512;606794;3269;225;13;16384;4096;16;4;/data/work/7c/4036a195194badb5d2a64cf769f441;-;-
3;minikube-m02;88/c268c5;nf-88c268c5fa098594ea1cd06750a24600;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;5368709120;1;1704305470025;1704305470000;1704305471000;975;437;-;100.0;0.0;10485760;17670144;10485760;17694720;12178884;400796;1619;61;4096;401408;11;22;/data/work/88/c268c5fa098594ea1cd06750a24600;-;-
4;minikube-m04;35/a8ca9f;nf-35a8ca9f6061a1cb60abdddbd69ef043;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;5368709120;1;1704305470098;1704305470000;1704305471000;902;205;-;67.3;0.0;6029312;12136448;6029312;12152832;12981596;1241;463;17;12369920;16384;12;17;/data/work/35/a8ca9f6061a1cb60abdddbd69ef043;-;-
6;minikube-m04;b2/6524ed;nf-b26524ed3e31d7bf0142c55379fa6f24;FASTQC;OSMOTIC_STRESS_T0_R2_T1;FASTQC (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;28800000;-;5368709120;1;1704305470175;1704305470000;1704305478000;7825;7508;-;152.8;0.4;249671680;3537629184;252862464;3537989632;41540203;4172405;32365;12525;10575872;4730880;11;10;/data/work/b2/6524ed3e31d7bf0142c55379fa6f24;-;-
2;minikube-m03;81/689d0b;nf-81689d0bf6207c354e61ebb93fc26601;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;43200000;-;5368709120;1;1704305469947;1704305470000;1704305480000;10053;9341;-;96.8;0.1;60428288;65302528;60428288;65318912;49250864;33434022;1704;50;12365824;33468416;571;255;/data/work/81/689d0bf6207c354e61ebb93fc26601;-;-
5;minikube-m02;a6/062609;nf-a6062609d1d3726c2f49211763c3faf5;FASTQC;OSMOTIC_STRESS_T0_R1_T1;FASTQC (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;28800000;-;5368709120;1;1704305474881;1704305475000;1704305484000;9119;8547;-;141.5;0.4;244801536;3537629184;244801536;3537645568;41504041;4199855;32304;12558;4096;4710400;11;4;/data/work/a6/062609d1d3726c2f49211763c3faf5;-;-
7;minikube-m03;be/ae4cb3;nf-beae4cb39542ed037ef8c4f113ef15f3;FASTQC;OSMOTIC_STRESS_T0A_R1_T1;FASTQC (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;28800000;-;5368709120;1;1704305474954;1704305475000;1704305484000;9046;8713;-;152.7;0.4;236154880;3539095552;236154880;3539111936;41495606;4199952;32301;12581;10534912;4722688;11;4;/data/work/be/ae4cb39542ed037ef8c4f113ef15f3;-;-
11;minikube-m04;38/2d8ee1;nf-382d8ee127b25c1f4cac9b76d8f57257;FASTQC;OSMOTIC_STRESS_T0A_R2_T1;FASTQC (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;28800000;-;5368709120;1;1704305479846;1704305480000;1704305489000;9154;8549;-;143.9;0.5;262361088;3537629184;267599872;3543117824;41539961;4172501;32364;12571;4096;4685824;11;2;/data/work/38/2d8ee127b25c1f4cac9b76d8f57257;-;-
8;minikube-m03;ba/9d5654;nf-ba9d5654cdaf71bc8bacc102ddc62905;TRIMGALORE;OSMOTIC_STRESS_T0_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;43200000;-;5368709120;1;1704305484919;1704305485000;1704305501000;16081;15876;-;154.9;0.5;308969472;3280564224;310894592;3283300352;257589321;207718857;49149;36066;4096;24829952;5598;627;/data/work/ba/9d5654cdaf71bc8bacc102ddc62905;-;-
9;minikube-m02;ca/28d32b;nf-ca28d32ba613099b4c8a34bd8e8dc2e8;TRIMGALORE;OSMOTIC_STRESS_T0_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;43200000;-;5368709120;1;1704305489886;1704305490000;1704305506000;16114;15887;-;159.0;0.5;284446720;3280564224;284446720;3281907712;259430667;209552578;50610;36361;4096;25034752;6862;699;/data/work/ca/28d32ba613099b4c8a34bd8e8dc2e8;-;-
