task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
11;minikube-m03;d2/056c8c;nf-d2056c8cd517d89b02c4b4a1dbdcfc8f;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1704141552142;1704141553000;1704141553000;858;0;-;60.0;0.0;3407872;5640192;3407872;5644288;79652;3140;193;46;12288;12288;4;4;/data/work/d2/056c8cd517d89b02c4b4a1dbdcfc8f;-;-
1;minikube-m03;23/5b254d;nf-235b254d78ae4caa700abf02287695aa;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1704141551996;1704141553000;1704141553000;1004;0;-;63.2;0.0;3145728;5640192;3145728;5644288;129526;3131;193;46;61440;12288;4;2;/data/work/23/5b254d78ae4caa700abf02287695aa;-;-
3;minikube-m02;d8/d734b0;nf-d8d734b0fc62ee92ed9e28db3103c819;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1704141552052;1704141552000;1704141554000;1948;1000;-;32.3;0.0;2883584;11575296;2883584;11579392;229972;113150;170;65;45056;139264;4;1;/data/work/d8/d734b0fc62ee92ed9e28db3103c819;-;-
7;minikube-m02;e2/aea275;nf-e2aea275e63f44ba1604d418d337c445;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED;genome.interval_list;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list);COMPLETED;0;-;quay.io/biocontainers/gawk:5.1.0;1;14400000;-;1073741824;1;1704141554071;1704141555000;1704141556000;1929;0;-;40.0;0.0;2883584;11575296;2883584;11579392;49266;1070;151;18;8192;12288;5;0;/data/work/e2/aea275e63f44ba1604d418d337c445;-;-
12;minikube-m04;23/f324ad;nf-23f324ad05895c714ef12af037840ca1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test1-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test1-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1704141552098;1704141553000;1704141560000;7902;6000;-;233.1;0.7;553857024;4164423680;556531712;4221714432;54430700;3595225;73776;11111;32718848;4468736;10;37;/data/work/23/f324ad05895c714ef12af037840ca1;-;-
2;minikube-m03;c4/2f6dc3;nf-c42f6dc3feb222e7519d46d6b1fe018f;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1704141559019;1704141560000;1704141560000;981;0;-;69.2;0.0;3145728;5640192;3145728;5644288;147325;4914;225;19;45056;12288;3;3;/data/work/c4/2f6dc3feb222e7519d46d6b1fe018f;-;-
13;minikube-m04;c9/36efa3;nf-c936efa3646550899d49ce241ca13064;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test2-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test2-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1704141558942;1704141560000;1704141566000;7058;5000;-;203.5;0.3;216457216;4162326528;216653824;4221714432;22246143;4322740;10408;12238;352256;5263360;11;5;/data/work/c9/36efa3646550899d49ce241ca13064;-;-
4;minikube-m02;fc/c34ceb;nf-fcc34cebd6a6ec97011adc22925fcff1;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1704141559119;1704141560000;1704141566000;6881;6000;-;220.0;0.4;378978304;42616045568;378978304;42616066048;104336219;697571;37557;243;45056;1585152;15;37;/data/work/fc/c34cebd6a6ec97011adc22925fcff1;-;-
15;minikube-m03;fc/e49225;nf-fce49225bad59d608d8dfc0e4deb26cd;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test4-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test4-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1704141564116;1704141565000;1704141575000;10884;9000;-;192.7;0.7;614928384;4164423680;614928384;4219617280;55708114;3639823;76261;11241;34009088;4882432;9;169;/data/work/fc/e49225bad59d608d8dfc0e4deb26cd;-;-
6;minikube-m04;17/1b40a6;nf-171b40a689706d61cb3c9861b5110a71;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED;genome;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED (genome);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;2;14400000;-;12884901888;1;1704141563975;1704141565000;1704141579000;15025;14000;-;128.7;0.4;394846208;25388486656;394846208;25449308160;104359256;697352;37625;241;8192;2129920;15;122;/data/work/17/1b40a689706d61cb3c9861b5110a71;-;-
