task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu03;9b/efcdec;nf-9befcdeca4a0700c00619daf8b9c4504;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709226134759;1709226136000;1709226137000;2241;91;-;19.8;0.0;2908160;4071424;2908160;4079616;98288;1734;261;18;0;12288;2;0;/data/work/9b/efcdeca4a0700c00619daf8b9c4504;-;-
4;cpu10;40/e04d46;nf-40e04d46c7d4bdcf5d74271f81abb7e8;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709226134800;1709226135000;1709226136000;1200;332;-;11.7;0.0;2904064;4071424;2904064;4079616;108320;205237;261;24;0;212992;2;0;/data/work/40/e04d46c7d4bdcf5d74271f81abb7e8;-;-
3;cpu02;df/0e6914;nf-df0e6914b40905fdd6e6b0a3a915bef1;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709226134835;1709226136000;1709226137000;2165;1000;-;50.7;0.0;3239936;5632000;3239936;5636096;709288;1445;280;18;0;12288;2;0;/data/work/df/0e6914b40905fdd6e6b0a3a915bef1;-;-
2;cpu09;0a/2e87c5;nf-0a2e87c54fa34e9b5fbfed38eda01149;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709226134702;1709226139000;1709226141000;6298;902;-;7.7;0.0;2940928;4071424;2940928;4079616;3478302;2625317;635;204;0;913408;2;0;/data/work/0a/2e87c54fa34e9b5fbfed38eda01149;-;-
5;cpu09;bc/585823;nf-bc5858231df9dcaefbdf6ef97fcdc623;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA;gfp.fa;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709226143547;1709226144000;1709226144000;453;0;-;45.6;0.0;3289088;5632000;3289088;5636096;1290236;440010;322;26;0;454656;2;2;/data/work/bc/5858231df9dcaefbdf6ef97fcdc623;-;-
7;cpu10;3d/fc6744;nf-3dfc67448af0b734a3a46562b1373e4e;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709226141822;1709226143000;1709226148000;6178;4000;-;235.7;0.2;291651584;4640055296;291651584;4666920960;26280288;3762274;22531;11392;0;4141056;10;8;/data/work/3d/fc67448af0b734a3a46562b1373e4e;-;-
13;cpu09;bb/f99e94;nf-bbf99e941f23c59b6e54fbab42be7463;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample2);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709226142039;1709226143000;1709226148000;5961;4000;-;228.0;0.2;295038976;4640055296;296849408;4666916864;26147502;3747227;22357;11336;0;4157440;10;7;/data/work/bb/f99e941f23c59b6e54fbab42be7463;-;-
15;cpu10;63/5e33e3;nf-635e33e30d5b185440c624dc21f29c08;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample4);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709226142111;1709226143000;1709226148000;5889;4000;-;243.1;0.2;296501248;4640055296;299311104;4666920960;26344570;3745592;22663;11288;0;4112384;10;4;/data/work/63/5e33e30d5b185440c624dc21f29c08;-;-
18;cpu09;ba/ca277b;nf-baca277b083567e44da8d51dafa296f3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample7;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample7);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709226142211;1709226143000;1709226148000;5789;4000;-;215.2;0.2;278536192;4640055296;279552000;4695248896;26289851;3741528;22489;11290;0;4157440;10;5;/data/work/ba/ca277b083567e44da8d51dafa296f3;-;-
6;cpu10;56/6ab5c7;nf-566ab5c7f416d65994b22ad6b336a77e;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1709226142279;1709226143000;1709226150000;7721;7000;-;226.8;0.2;284299264;4571869184;286097408;4628783104;219936470;176704237;37649;19807;0;13238272;2731;102;/data/work/56/6ab5c7f416d65994b22ad6b336a77e;-;-
