task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;cpu03;bc/01ef7e;nf-bc01ef7e2d133c1ffe33b7eb0e47cdfd;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709222677536;1709222681000;1709222682000;4464;631;-;10.9;0.0;2940928;4071424;2940928;4079616;3478295;2625317;641;204;0;913408;2;0;/data/work/bc/01ef7e2d133c1ffe33b7eb0e47cdfd;-;-
2;cpu10;de/1c7e1a;nf-de1c7e1a2ed38297a5ca960671611e28;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709222677580;1709222678000;1709222681000;3420;351;-;8.3;0.0;2904064;4071424;2904064;4079616;108318;205236;261;24;0;212992;2;0;/data/work/de/1c7e1a2ed38297a5ca960671611e28;-;-
1;cpu02;cc/94ace7;nf-cc94ace7fcb6b8f42ec262476f3068ee;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709222677621;1709222682000;1709222684000;6379;1676;-;1.2;0.0;3080192;4071424;3080192;4079616;98220;1734;261;18;0;12288;2;0;/data/work/cc/94ace7fcb6b8f42ec262476f3068ee;-;-
3;cpu08;cc/fec7eb;nf-ccfec7eb183b99eef6b563b3340bd458;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709222677483;1709222685000;1709222685000;7517;0;-;69.6;0.0;3178496;5632000;3178496;5636096;709298;1445;280;18;0;12288;2;0;/data/work/cc/fec7eb183b99eef6b563b3340bd458;-;-
5;cpu02;c8/d102dc;nf-c8d102dc1476d2b780fd5e8a50511570;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA;gfp.fa;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709222685597;1709222686000;1709222690000;4403;2000;-;2.8;0.0;3252224;5632000;3252224;5636096;1290201;440009;322;26;0;454656;2;0;/data/work/c8/d102dc1476d2b780fd5e8a50511570;-;-
8;cpu02;a7/c62a76;nf-a7c62a768f75f029c6455daf68205b5e;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample10);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709222689510;1709222691000;1709222696000;6490;4000;-;214.7;0.2;250699776;4571893760;252051456;4627087360;23045290;1875451;15221;5685;0;2129920;8;6;/data/work/a7/c62a768f75f029c6455daf68205b5e;-;-
7;cpu03;61/d3d1b3;nf-61d3d1b3e0bfc9db8fdca938b1f7c1cc;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709222689548;1709222692000;1709222696000;6452;3000;-;285.9;0.2;275124224;4640055296;275226624;4695248896;26247622;3762275;22529;11350;0;4157440;10;10;/data/work/61/d3d1b3e0bfc9db8fdca938b1f7c1cc;-;-
12;cpu02;cf/950916;nf-cf950916998d3154899e94147d0d2304;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample12);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709222689581;1709222691000;1709222695000;5419;3000;-;291.5;0.2;275136512;4640055296;275136512;4666916864;26143793;3754694;22279;11333;0;4149248;10;8;/data/work/cf/950916998d3154899e94147d0d2304;-;-
11;cpu03;74/64038c;nf-7464038c4923fbcf09f8dafb0837b54b;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample11);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709222689612;1709222692000;1709222696000;6388;3000;-;294.1;0.2;273190912;4640055296;273190912;4669321216;26294744;3743609;22472;11278;0;4132864;10;3;/data/work/74/64038c4923fbcf09f8dafb0837b54b;-;-
13;cpu10;12/377927;nf-123779275570c4bd79c0864220e3d6ea;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample2);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709222689645;1709222691000;1709222696000;6355;4000;-;221.1;0.2;296349696;4640055296;301322240;4666916864;26179975;3747226;22385;11294;0;4149248;10;3;/data/work/12/3779275570c4bd79c0864220e3d6ea;-;-
