task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;cpu10;0f/74b7a2;nf-0f74b7a241858812e4b4cece190bd0b0;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1711713371925;1711713373000;1711713374000;2075;92;-;29.7;0.0;3080192;4071424;3080192;4079616;98465;1739;261;18;0;12288;2;2;/data/work/0f/74b7a241858812e4b4cece190bd0b0;-;-
4;cpu10;ae/961a23;nf-ae961a23b8d414cebf478c7dc25bf1fd;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1711713371979;1711713373000;1711713374000;2021;88;-;31.0;0.0;2990080;4071424;2990080;4079616;108575;205242;261;24;0;212992;2;1;/data/work/ae/961a23b8d414cebf478c7dc25bf1fd;-;-
1;cpu10;29/f76a65;nf-29f76a655385700c150331604e25ac18;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1711713372023;1711713373000;1711713374000;1977;83;-;66.7;0.0;2957312;4071424;2957312;4079616;3478368;2625322;640;204;0;913408;2;2;/data/work/29/f76a655385700c150331604e25ac18;-;-
3;cpu10;35/fa1789;nf-35fa17893927e0bf5b08181758fbb420;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1711713372059;1711713373000;1711713374000;1941;0;-;66.9;0.0;3227648;5632000;3227648;5636096;709532;1449;281;18;8192;12288;2;3;/data/work/35/fa17893927e0bf5b08181758fbb420;-;-
5;cpu10;6d/d08054;nf-6dd08054d456be5fe8103537b7143848;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA;gfp.fa;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1711713397217;1711713398000;1711713402000;4783;4000;-;2.3;0.0;3284992;5632000;3284992;5636096;1290446;440013;323;26;0;454656;2;0;/data/work/6d/d08054d456be5fe8103537b7143848;-;-
7;cpu09;fa/93b578;nf-fa93b57801cbecb0bce8e5df0738d028;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample10);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1711713402579;1711713407000;1711713411000;8421;4000;-;217.1;0.1;188321792;4565434368;188321792;4626554880;93580187;67621603;17795;8108;0;4440064;134;30;/data/work/fa/93b57801cbecb0bce8e5df0738d028;-;-
26;cpu09;ab/ddb116;nf-abddb116ae998b45cad4d6c392c78552;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample6);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1711713403005;1711713407000;1711713411000;7995;4000;-;202.9;0.1;177221632;4563632128;177221632;4626571264;93420880;67564760;17618;8088;0;4370432;100;29;/data/work/ab/ddb116ae998b45cad4d6c392c78552;-;-
30;cpu03;a1/426adf;nf-a1426adfac41290296c2f40f265c33d3;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome_gfp.fasta;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome_gfp.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1711713407826;1711713412000;1711713412000;4174;0;-;44.0;0.0;3264512;5632000;3264512;5636096;348644;4991;242;20;0;16384;2;3;/data/work/a1/426adfac41290296c2f40f265c33d3;-;-
6;cpu10;69/0580dd;nf-690580ddf4732e654bbce78b99b664ca;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1711713402616;1711713404000;1711713413000;10384;9000;-;171.3;0.2;278294528;4571865088;281026560;4626681856;219937074;176704241;37530;19807;0;13131776;3020;99;/data/work/69/0580ddf4732e654bbce78b99b664ca;-;-
28;cpu09;32/465855;nf-324658559430bd05895a5257cc2b580d;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample8;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample8);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1711713403065;1711713413000;1711713417000;13935;3000;-;196.8;0.2;280227840;4571734016;281292800;4626563072;93387644;67567788;17563;8107;0;4366336;2708;31;/data/work/32/4658559430bd05895a5257cc2b580d;-;-
29;cpu10;15/f4b2d4;nf-15f4b2d4d83cc85b9fe1f7be8d0de13f;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample9);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1711713403094;1711713404000;1711713413000;9906;9000;-;169.0;0.2;274747392;4575875072;277266432;4628766720;220025723;176856772;37377;19808;0;13103104;2855;82;/data/work/15/f4b2d4d83cc85b9fe1f7be8d0de13f;-;-
33;cpu03;7a/468292;nf-7a468292d63b6a89fd0375d0db4c7f9e;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED;genome_gfp.gtf;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (genome_gfp.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1711713407793;1711713412000;1711713413000;5207;0;-;44.0;0.0;2908160;11567104;2908160;11571200;407031;7945;208;18;729088;16384;2;1;/data/work/7a/468292d63b6a89fd0375d0db4c7f9e;-;-
10;cpu10;4b/b9756e;nf-4bb9756ea48c91bf5faee428b29e5229;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample10);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1711713402224;1711713416000;1711713420000;17776;3000;-;216.5;0.2;250363904;4571893760;253145088;4627087360;23044041;1875455;15129;5664;0;2113536;7;3;/data/work/4b/b9756ea48c91bf5faee428b29e5229;-;-
8;cpu10;fa/110f0b;nf-fa110f0b50a989becce102a9a73119ee;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1711713402261;1711713416000;1711713421000;18739;4000;-;273.2;0.2;286302208;4640055296;293220352;4695248896;26247954;3762279;22446;11350;0;4141056;9;3;/data/work/fa/110f0b50a989becce102a9a73119ee;-;-
24;cpu03;d0/522f2d;nf-d0522f2d86a9aedb6275e513f02ea3fa;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample4);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1711713402907;1711713412000;1711713422000;19093;10000;-;222.3;0.2;223408128;4567683072;223408128;4628791296;220067054;176720730;37416;19720;0;13262848;2715;115;/data/work/d0/522f2d86a9aedb6275e513f02ea3fa;-;-
23;cpu09;f0/836f02;nf-f0836f025387cd03ba7dc4c763d48525;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample3);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1711713402939;1711713414000;1711713418000;15061;3000;-;204.8;0.1;199847936;4567535616;199847936;4626558976;93201084;67470815;17433;8089;0;4333568;101;23;/data/work/f0/836f025387cd03ba7dc4c763d48525;-;-
25;cpu08;06/8837dc;nf-068837dce0586caa1bf57320c6776e7f;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample5);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1711713402975;1711713413000;1711713420000;17025;7000;-;213.5;0.2;264839168;4571734016;267501568;4626571264;93609756;67590792;17695;8073;0;4448256;1714;167;/data/work/06/8837dce0586caa1bf57320c6776e7f;-;-
27;cpu03;e2/092782;nf-e2092782e1fc15b0501a5c4bb0c53145;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample7;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample7);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1711713403034;1711713412000;1711713422000;18966;10000;-;227.3;0.2;227319808;4567674880;227319808;4626685952;220348137;177006834;37609;19789;0;13246464;2982;146;/data/work/e2/092782e1fc15b0501a5c4bb0c53145;-;-
11;cpu09;70/ce48b8;nf-70ce48b86bc4024afe5e8cab58bd0bb0;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample11);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1711713402406;1711713419000;1711713424000;21594;4000;-;248.0;0.2;296116224;4640055296;302592000;4666916864;26113817;3743613;22250;11278;0;4116480;9;3;/data/work/70/ce48b86bc4024afe5e8cab58bd0bb0;-;-
12;cpu09;96/d06cbf;nf-96d06cbfd5177e4eddba82594c836d94;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample12);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1711713402441;1711713419000;1711713424000;21559;4000;-;237.8;0.2;291364864;4640055296;296296448;4669079552;26128776;3754697;22303;11291;0;4128768;9;4;/data/work/96/d06cbfd5177e4eddba82594c836d94;-;-
13;cpu10;89/cefd0e;nf-89cefd0e586955927b016004faecf135;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample2);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1711713402478;1711713419000;1711713424000;21522;3000;-;248.4;0.2;291688448;4640055296;293203968;4666916864;26147455;3747231;22287;11378;0;4218880;9;4;/data/work/89/cefd0e586955927b016004faecf135;-;-
14;cpu09;b0/e5f164;nf-b0e5f164afc0c9f94853bce78cd9c6eb;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample3);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1711713402511;1711713420000;1711713424000;21489;3000;-;220.5;0.2;251666432;4571893760;252461056;4627087360;22929222;1872564;14906;5664;0;2109440;7;4;/data/work/b0/e5f164afc0c9f94853bce78cd9c6eb;-;-
15;cpu10;a2/bc09b7;nf-a2bc09b79292af1cbccb56b9b5d33858;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample4);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1711713402545;1711713422000;1711713426000;23455;3000;-;281.1;0.2;284188672;4640055296;284188672;4666916864;26310983;3745597;22623;11288;0;4157440;9;8;/data/work/a2/bc09b79292af1cbccb56b9b5d33858;-;-
19;cpu02;65/501fff;nf-65501fffc71f67fdd8831a087fdbe54e;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample12);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1711713402747;1711713414000;1711713424000;21253;10000;-;220.5;0.2;241307648;4569759744;241307648;4626681856;219615139;176559260;37383;19772;0;12988416;3045;103;/data/work/65/501fffc71f67fdd8831a087fdbe54e;-;-
9;cpu08;31/0c3cb1;nf-310c3cb1b53c6a69f68db0e0ba1b5751;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample11);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1711713402817;1711713413000;1711713426000;23183;13000;-;228.4;0.2;280420352;4571869184;284651520;4628783104;219644424;176587886;37332;19798;0;12988416;1695;126;/data/work/31/0c3cb1b53c6a69f68db0e0ba1b5751;-;-
