task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;cpu10;c1/6ec210;nf-c16ec210645f198e75f78c856ffcd69d;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1711717705362;1711717707000;1711717707000;1638;0;-;75.8;0.0;3203072;5632000;3203072;5636096;709531;1449;281;18;0;12288;2;3;/data/work/c1/6ec210645f198e75f78c856ffcd69d;-;-
3;cpu10;d8/2e49e0;nf-d82e49e0d5e5e1495cec0b26b3b0edfe;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1711717705416;1711717707000;1711717707000;1584;68;-;78.7;0.0;2977792;4071424;2977792;4079616;3478368;2625322;640;204;0;913408;2;0;/data/work/d8/2e49e0d5e5e1495cec0b26b3b0edfe;-;-
1;cpu10;a8/849fd7;nf-a8849fd776ec609b08286b1493a4f845;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1711717705497;1711717707000;1711717707000;1503;58;-;44.7;0.0;2940928;4071424;2940928;4079616;98465;1739;261;18;0;12288;2;1;/data/work/a8/849fd776ec609b08286b1493a4f845;-;-
4;cpu10;80/51396f;nf-8051396f283107d9d7434d77d9af5678;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1711717705462;1711717707000;1711717712000;6538;93;-;29.4;0.0;2961408;4071424;2961408;4079616;108575;205242;261;24;0;212992;2;3;/data/work/80/51396f283107d9d7434d77d9af5678;-;-
14;cpu02;4b/25b5fe;nf-4b25b5feffb86704a3aa2e61d7662638;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample4);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1711717712359;1711717715000;1711717721000;8641;5000;-;296.2;0.2;299687936;4640055296;301543424;4666916864;26487917;3745597;22895;11372;0;4145152;10;3;/data/work/4b/25b5feffb86704a3aa2e61d7662638;-;-
15;cpu02;cd/f2fccd;nf-cdf2fccd95ac660dc3797766f793f652;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample5);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1711717712395;1711717715000;1711717720000;7605;4000;-;200.5;0.2;222482432;4567699456;222482432;4627087360;23066877;1863001;15219;5690;0;2129920;8;7;/data/work/cd/f2fccd95ac660dc3797766f793f652;-;-
16;cpu02;2b/345249;nf-2b3452498027ad10c84f48625f8fc97d;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample6);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1711717712432;1711717715000;1711717720000;7568;4000;-;216.6;0.2;245903360;4571893760;246001664;4627087360;22987179;1869071;15086;5680;0;2113536;8;6;/data/work/2b/3452498027ad10c84f48625f8fc97d;-;-
6;cpu10;2c/6f33aa;nf-2c6f33aa14de144dac1580a9c9ec4a2b;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1711717712467;1711717714000;1711717721000;8533;7000;-;236.1;0.1;184909824;4567670784;184909824;4626681856;219936694;176704241;37511;19786;0;13225984;1078;58;/data/work/2c/6f33aa14de144dac1580a9c9ec4a2b;-;-
8;cpu10;c6/fcd73e;nf-c6fcd73eddaf8d9fdf5fb93426d2f3b1;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample10);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1711717712502;1711717714000;1711717718000;5498;3000;-;195.7;0.1;176685056;4563628032;176685056;4626567168;93580232;67621602;17654;8108;0;4427776;114;19;/data/work/c6/fcd73eddaf8d9fdf5fb93426d2f3b1;-;-
29;cpu10;53/1e2dc7;nf-531e2dc71342f043eb6abe155179aa15;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA;gfp.fa;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1711717717899;1711717718000;1711717719000;1101;0;-;34.5;0.0;3321856;5632000;3321856;5636096;1290447;440014;323;26;0;454656;2;2;/data/work/53/1e2dc71342f043eb6abe155179aa15;-;-
