task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;cpu10;60/35bc99;nf-6035bc991d6ce5d30fdd589d016d2b50;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709292247773;1709292248000;1709292250000;2227;681;-;2.9;0.0;3018752;4071424;3018752;4079616;98215;1733;261;18;0;12288;2;0;/data/work/60/35bc991d6ce5d30fdd589d016d2b50;-;-
3;cpu03;84/b64f3d;nf-84b64f3d60062bfe17c3660be16672bb;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709292247723;1709292250000;1709292252000;4277;2000;-;4.6;0.0;3276800;5632000;3276800;5636096;709324;1443;280;18;0;12288;2;0;/data/work/84/b64f3d60062bfe17c3660be16672bb;-;-
1;cpu09;58/a1e8a1;nf-58a1e8a17eaae7a752dc67917aff7ea7;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709292247807;1709292254000;1709292257000;9193;671;-;8.8;0.0;2920448;4071424;2920448;4079616;3478315;2625317;636;204;757760;913408;2;0;/data/work/58/a1e8a17eaae7a752dc67917aff7ea7;-;-
4;cpu08;f3/01d987;nf-f301d9878e4ef7ea38619f439f48415f;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709292247927;1709292257000;1709292257000;9073;638;-;4.7;0.0;2957312;4071424;2957312;4079616;108366;205238;261;24;0;212992;2;0;/data/work/f3/01d9878e4ef7ea38619f439f48415f;-;-
8;cpu10;e4/1de374;nf-e41de3741ebb4e06697e67228c8ffed5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample10);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709292257091;1709292257000;1709292261000;3909;2000;-;214.0;0.2;257630208;4571893760;260579328;4627087360;23043946;1875449;15143;5685;0;2117632;8;3;/data/work/e4/1de3741ebb4e06697e67228c8ffed5;-;-
11;cpu09;67/ddbf4f;nf-67ddbf4f0ef496646517f8d32d849c76;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample12);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709292257178;1709292257000;1709292261000;3822;2000;-;285.3;0.2;248459264;4640055296;248459264;4666916864;26127766;3754688;22246;11333;0;4145152;10;6;/data/work/67/ddbf4f0ef496646517f8d32d849c76;-;-
7;cpu10;b1/5a7f30;nf-b15a7f304f32291280f37288d0e46a6f;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample10);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1709292257231;1709292258000;1709292261000;3769;3000;-;221.8;0.1;195723264;4567539712;195723264;4626571264;93579868;67621598;17693;8108;0;4427776;101;27;/data/work/b1/5a7f304f32291280f37288d0e46a6f;-;-
14;cpu09;b2/294f0b;nf-b2294f0b7dcf7576af74c1c68ec92217;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample4);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709292257311;1709292258000;1709292262000;4689;3000;-;211.5;0.2;291991552;4640055296;296542208;4666920960;26343341;3745590;22632;11330;0;4153344;10;7;/data/work/b2/294f0b7dcf7576af74c1c68ec92217;-;-
15;cpu09;06/c5c22f;nf-06c5c22f9b440e03eb81b1cd54cd0856;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample5);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709292257411;1709292258000;1709292261000;3589;2000;-;226.1;0.2;260407296;4576497664;260407296;4627087360;23066092;1862997;15178;5669;0;2121728;8;7;/data/work/06/c5c22f9b440e03eb81b1cd54cd0856;-;-
18;cpu10;8e/23a074;nf-8e23a074a433980bec06e1ec9e33fcf9;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample6);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709292257436;1709292258000;1709292261000;3564;2000;-;213.7;0.2;246542336;4571893760;247799808;4627087360;22985567;1869065;15019;5659;0;2101248;8;13;/data/work/8e/23a074a433980bec06e1ec9e33fcf9;-;-
