task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;cpu02;a7/58174d;nf-a758174dd4ac22db800efb22d7021d22;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709227435086;1709227442000;1709227444000;8914;631;-;12.0;0.0;2936832;4071424;2936832;4079616;3478124;2625318;637;204;0;913408;2;0;/data/work/a7/58174dd4ac22db800efb22d7021d22;-;-
2;cpu03;a5/d501db;nf-a5d501db4b26d57607e11c3525096cd8;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709227435134;1709227444000;1709227444000;8866;45;-;54.5;0.0;2994176;4071424;2994176;4079616;98288;1734;261;18;0;12288;2;0;/data/work/a5/d501db4b26d57607e11c3525096cd8;-;-
1;cpu10;08/5f011e;nf-085f011ef9147cc79d67022ef2ff9a70;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709227435211;1709227436000;1709227442000;6789;1543;-;1.9;0.0;2990080;4071424;2990080;4079616;108318;205236;261;24;0;212992;2;0;/data/work/08/5f011ef9147cc79d67022ef2ff9a70;-;-
4;cpu09;b8/e42431;nf-b8e424310ca6d8bd343d4c181c1ce486;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709227435173;1709227445000;1709227446000;10827;0;-;36.4;0.0;3194880;5632000;3194880;5636096;709320;1445;280;18;0;12288;2;0;/data/work/b8/e424310ca6d8bd343d4c181c1ce486;-;-
5;cpu03;3f/9bf4a9;nf-3f9bf4a94a7823a36133d4f4101fefd4;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA;gfp.fa;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709227449258;1709227454000;1709227455000;5742;0;-;71.7;0.0;3342336;5632000;3342336;5636096;1290228;440009;322;26;0;454656;2;4;/data/work/3f/9bf4a94a7823a36133d4f4101fefd4;-;-
10;cpu09;db/a99b3a;nf-dba99b3ae632fc4b3945fad971427311;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample10);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709227451935;1709227456000;1709227459000;7065;2000;-;212.3;0.2;246247424;4571893760;247398400;4627087360;23044211;1875451;15165;5685;0;2113536;8;5;/data/work/db/a99b3ae632fc4b3945fad971427311;-;-
14;cpu09;e6/20b221;nf-e620b22188c5da53843e3e275eecd0e7;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample3);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709227452111;1709227456000;1709227459000;6889;2000;-;216.7;0.2;246796288;4571893760;247083008;4627087360;22929729;1872559;14965;5664;0;2109440;8;7;/data/work/e6/20b22188c5da53843e3e275eecd0e7;-;-
7;cpu03;09/a5f037;nf-09a5f037579c15c49fb633710fd607c6;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample10);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1709227452369;1709227455000;1709227459000;6631;4000;-;219.1;0.2;267730944;4571734016;267743232;4626563072;93580678;67621603;17703;8087;0;4444160;2675;38;/data/work/09/a5f037579c15c49fb633710fd607c6;-;-
9;cpu10;e1/16c5c7;nf-e116c5c7c6371da715814ec9ef74c4a3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample11;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample11);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1709227452432;1709227453000;1709227461000;8568;6000;-;236.0;0.1;200249344;4567674880;200769536;4628783104;219641162;176587881;37182;19819;0;13008896;1189;54;/data/work/e1/16c5c7c6371da715814ec9ef74c4a3;-;-
23;cpu10;d2/36c503;nf-d236c50316c3b8e29f6baebb709b421a;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample3);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1709227452499;1709227453000;1709227457000;4501;3000;-;217.3;0.1;196984832;4567543808;196984832;4599726080;93201851;67470809;17518;8110;0;4308992;95;27;/data/work/d2/36c50316c3b8e29f6baebb709b421a;-;-
