task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;cpu03;eb/b1a382;nf-ebb1a382f53965a35aa30f6848692fa0;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA;gfp.fa.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709220949621;1709220956000;1709220958000;8379;97;-;28.1;0.0;2945024;4071424;2945024;4079616;98286;1734;261;18;0;12288;2;0;/data/work/eb/b1a382f53965a35aa30f6848692fa0;-;-
4;cpu10;25/fbed27;nf-25fbed27f1e5b008b1e25b0045e88699;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF;genes.gtf.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709220949673;1709220950000;1709220956000;6327;527;-;5.6;0.0;3022848;4071424;3022848;4079616;108319;205236;261;24;0;212992;2;0;/data/work/25/fbed27f1e5b008b1e25b0045e88699;-;-
1;cpu08;8a/22a556;nf-8a22a556f7e9faa8ab75b6156f043f8f;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX;salmon.tar.gz;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;6442450944;1;1709220949715;1709220959000;1709220961000;11285;757;-;9.2;0.0;2990080;4071424;2990080;4079616;3478134;2625317;636;204;0;913408;2;0;/data/work/8a/22a556f7e9faa8ab75b6156f043f8f;-;-
2;cpu03;9d/dd9de3;nf-9ddd9de35f03f054cf622ada7bb9bc70;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709220949775;1709220956000;1709220958000;8225;0;-;55.8;0.0;3223552;5632000;3223552;5636096;709312;1444;280;18;0;12288;2;2;/data/work/9d/dd9de35f03f054cf622ada7bb9bc70;-;-
5;cpu10;da/0b5fc8;nf-da0b5fc8a0dcf5c3b6c4afcb6ab5edf0;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA;gfp.fa;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709220963398;1709220964000;1709220965000;1602;0;-;28.7;0.0;3313664;5632000;3313664;5636096;1290192;440009;322;26;0;454656;2;2;/data/work/da/0b5fc8a0dcf5c3b6c4afcb6ab5edf0;-;-
25;cpu10;b9/b409c1;nf-b9b409c1662ef6fb45361085f95098a2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample5;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample5);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1709220964308;1709220965000;1709220968000;3692;3000;-;217.0;0.1;179957760;4565827584;179957760;4628668416;93608371;67590759;17731;8094;0;4448256;100;35;/data/work/b9/b409c1662ef6fb45361085f95098a2;-;-
33;cpu08;d3/9c42eb;nf-d39c42eb100bb5731fcabceae95d4d17;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome_gfp.fasta;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome_gfp.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1709220966408;1709220969000;1709220969000;2592;0;-;36.2;0.0;3174400;5632000;3174400;5636096;348489;4986;241;20;0;16384;2;4;/data/work/d3/9c42eb100bb5731fcabceae95d4d17;-;-
31;cpu09;8c/21d73d;nf-8c21d73d38d4fe9936d9353973d2e123;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED;genome_gfp.gtf;NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (genome_gfp.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1709220966440;1709220968000;1709220969000;2560;0;-;25.2;0.0;2981888;11567104;2981888;11571200;406896;7940;207;18;0;16384;2;0;/data/work/8c/21d73d38d4fe9936d9353973d2e123;-;-
9;cpu02;8a/53c350;nf-8a53c3500acc7c4b12dd3d6078427451;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample10);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709220963669;1709220967000;1709220972000;8331;4000;-;208.1;0.2;249905152;4571893760;249905152;4629184512;23044923;1875451;15186;5685;0;2113536;8;3;/data/work/8a/53c3500acc7c4b12dd3d6078427451;-;-
14;cpu02;cb/3d3f6b;nf-cb3d3f6b3ba08cc9976759e7746f8b9b;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC;sample3;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (sample3);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709220963845;1709220967000;1709220972000;8155;4000;-;209.1;0.2;247902208;4571893760;247902208;4629184512;22930401;1872559;14984;5685;0;2109440;8;10;/data/work/cb/3d3f6b3ba08cc9976759e7746f8b9b;-;-
7;cpu02;d9/9797d6;nf-d99797d6d240b2dc56f97bcb959faeb4;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample10;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample10);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1709220964015;1709220967000;1709220972000;7985;5000;-;213.0;0.2;261324800;4571729920;262402048;4626558976;93580710;67621602;17668;8108;0;4444160;2424;106;/data/work/d9/9797d6d240b2dc56f97bcb959faeb4;-;-
21;cpu09;34/b11ccd;nf-34b11ccde80e30aef48512180360ffe0;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample12;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample12);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1709220964178;1709220967000;1709220974000;9822;6000;-;224.2;0.1;181157888;4563767296;181157888;4628783104;219612877;176559261;37211;19793;0;12967936;2736;85;/data/work/34/b11ccde80e30aef48512180360ffe0;-;-
22;cpu10;e8/05900d;nf-e805900d7bd2cd2db8060bf0347a041a;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE;sample2;NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (sample2);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1709220964209;1709220965000;1709220972000;7791;7000;-;223.0;0.1;178692096;4563763200;178692096;4626681856;219846509;176758234;37278;19816;0;13025280;1094;68;/data/work/e8/05900d7bd2cd2db8060bf0347a041a;-;-
