task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;cpu10;34/44e816;nf-3444e816f08284afeb7aae52056e2fda;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1709234859365;1709234860000;1709234861000;1635;1000;-;49.5;0.0;3268608;5632000;3268608;5636096;1886565;8721307;594;3048;28672;8810496;2;0;/data/work/34/44e816f08284afeb7aae52056e2fda;-;-
4;cpu02;8d/6f96c8;nf-8d6f96c8f506d2ad698f9e832aabd2aa;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709234859405;1709234861000;1709234861000;1595;118;-;80.0;0.0;2990080;4071424;2990080;4079616;10374903;18316752;1442;1206;0;9179136;2;0;/data/work/8d/6f96c8f506d2ad698f9e832aabd2aa;-;-
6;cpu08;38/c345f6;nf-38c345f693614dee4fd442d243931ca8;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709234859438;1709234863000;1709234864000;4562;153;-;12.3;0.0;3006464;4071424;3006464;4079616;99098;5089;261;18;0;16384;2;3;/data/work/38/c345f693614dee4fd442d243931ca8;-;-
2;cpu03;6c/15d45e;nf-6c15d45e7d5c7939ef4bd4df5a9c744a;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1709234859469;1709234864000;1709234865000;5531;1000;-;52.2;0.0;3239936;5632000;3239936;5636096;144162;4965;237;20;0;16384;2;2;/data/work/6c/15d45e7d5c7939ef4bd4df5a9c744a;-;-
1;cpu02;19/5bc193;nf-195bc193e09f4579c111bfb171c8ddba;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1709234859503;1709234861000;1709234862000;2497;0;-;23.9;0.0;2899968;11567104;2899968;11571200;92894;9826;157;413;0;24576;2;1;/data/work/19/5bc193e09f4579c111bfb171c8ddba;-;-
7;cpu08;e4/24875f;nf-e424875f8a7dcd00d50124b9ddaa7126;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709234859535;1709234863000;1709234865000;5465;1032;-;93.4;0.0;2912256;4071424;2912256;4079616;96380511;110259110;7210;7089;0;55144448;2;2;/data/work/e4/24875f8a7dcd00d50124b9ddaa7126;-;-
8;cpu03;bd/c9ca81;nf-bdc9ca81354c9afcacbc45c8f9ac4628;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1709234859574;1709234864000;1709234865000;5426;0;-;70.2;0.0;3301376;5632000;3301376;5636096;699445;4213;278;18;0;12288;2;3;/data/work/bd/c9ca81354c9afcacbc45c8f9ac4628;-;-
9;cpu03;6d/06527b;nf-6d06527bf127bdf8e8dc10b295eac606;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709234859268;1709234864000;1709234865000;5732;1000;-;74.4;0.0;3268608;5632000;3268608;5636096;711904;1378;279;18;0;12288;2;2;/data/work/6d/06527bf127bdf8e8dc10b295eac606;-;-
5;cpu09;88/3be867;nf-883be867c62eb9ee12b3c86770203fb1;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1709234859323;1709234863000;1709234865000;5677;1000;-;16.5;0.0;41410560;151281664;41410560;218169344;247552;58058;362;45;0;110592;18;15;/data/work/88/3be867c62eb9ee12b3c86770203fb1;-;-
16;cpu10;99/b2c736;nf-99b2c73615e41892e62d6066336d35b9;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1709234870265;1709234871000;1709234873000;2735;2000;-;109.4;0.0;51679232;58613760;51679232;58617856;9866547;2508296;193;419;0;2523136;8;99;/data/work/99/b2c73615e41892e62d6066336d35b9;-;-
10;cpu03;cd/77f490;nf-cd77f4907f66413f45570796e2bd9509;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1709234867433;1709234874000;1709234876000;8567;2000;-;70.9;0.0;69234688;16222814208;69324800;16222818304;18772628;17055;4410;169;0;114688;14;7;/data/work/cd/77f4907f66413f45570796e2bd9509;-;-
14;cpu09;ab/ede8cb;nf-abede8cb9e42a3be167b0989e4d26cda;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709234870238;1709234874000;1709234878000;7762;3000;-;200.6;0.2;303538176;4576202752;303669248;4627087360;23494460;2424769;16398;6669;0;2674688;8;4;/data/work/ab/ede8cb9e42a3be167b0989e4d26cda;-;-
13;cpu08;07/f55dbd;nf-07f55dbd478b39aa1c93bc6c2643b539;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE10_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE10_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1709234870324;1709234873000;1709234879000;8676;5000;-;107.6;0.4;557101056;1138339840;557101056;1138343936;13502660;3290760;193;421;0;3309568;14;406;/data/work/07/f55dbd478b39aa1c93bc6c2643b539;-;-
12;cpu03;ed/d0a586;nf-edd0a586b2fa5d01f785daf65e2a3b3c;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ;SAMPLE3_SE;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709234870355;1709234875000;1709234875000;4645;59;-;44.4;0.0;3502080;10850304;3502080;10858496;5892111;5804639;247;19;0;5812224;11;8;/data/work/ed/d0a586b2fa5d01f785daf65e2a3b3c;-;-
18;cpu09;b0/b19e01;nf-b0b19e0147a115da6d19b2b0c71d6ff9;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE2_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE2_PE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709234870423;1709234874000;1709234879000;8577;4000;-;284.7;0.3;380923904;4640055296;382164992;4666916864;27705200;4901372;25867;13395;0;5316608;10;6;/data/work/b0/b19e0147a115da6d19b2b0c71d6ff9;-;-
17;cpu10;dc/6182bc;nf-dc6182bc38cf640a0ede199c0c5d691f;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE1_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE1_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1709234870455;1709234871000;1709234876000;5545;5000;-;119.8;0.9;1277513728;1807089664;1277513728;1874202624;25718474;6292809;210;710;393216;6311936;22;399;/data/work/dc/6182bc38cf640a0ede199c0c5d691f;-;-
21;cpu09;96/126083;nf-96126083cd40457fba852a0f0ad771bc;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE4_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE4_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1709234870578;1709234874000;1709234878000;7422;4000;-;119.7;0.9;1261371392;1807089664;1261371392;1874202624;25718520;6292810;208;710;0;6311936;29;377;/data/work/96/126083cd40457fba852a0f0ad771bc;-;-
24;cpu10;80/092d87;nf-80092d87d00eed65f145eeed9447f6b2;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE5_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE5_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1709234870607;1709234871000;1709234875000;4393;4000;-;117.6;0.6;766091264;1132630016;766091264;1132634112;18707241;4951044;208;710;0;4972544;10;299;/data/work/80/092d87d00eed65f145eeed9447f6b2;-;-
25;cpu10;fd/8f8c14;nf-fd8f8c140c2e117be9d30a51125f59eb;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE6_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE6_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1709234870697;1709234876000;1709234879000;8303;3000;-;111.1;0.6;763453440;1138339840;763453440;1138343936;13502619;3290745;194;421;0;3305472;8;203;/data/work/fd/8f8c140c2e117be9d30a51125f59eb;-;-
28;cpu03;fc/e96643;nf-fce96643e4786527b42ff44ed4d5ed7f;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE7_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE7_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1709234870728;1709234877000;1709234881000;10272;3000;-;108.5;0.0;51634176;58613760;51634176;58617856;9866570;2508282;193;419;0;2527232;9;195;/data/work/fc/e96643e4786527b42ff44ed4d5ed7f;-;-
15;cpu03;8c/a94d53;nf-8ca94d530198e4033261490f2f9ae758;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE1_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE1_PE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709234870389;1709234875000;1709234881000;10611;5000;-;296.6;0.3;373030912;4640055296;378351616;4666920960;29888841;4888767;30065;13473;0;5414912;10;10;/data/work/8c/a94d530198e4033261490f2f9ae758;-;-
20;cpu08;41/d04133;nf-41d04133ca7bf3da7274d292159e0e03;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE4_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE4_PE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709234870518;1709234873000;1709234882000;11482;8000;-;266.8;0.3;362029056;4640055296;363376640;4697346048;30006244;4888769;30051;13381;0;5345280;10;5;/data/work/41/d04133ca7bf3da7274d292159e0e03;-;-
22;cpu03;da/4eb562;nf-da4eb5625e0b2b4a9098f2125bc55f6f;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE5_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE5_PE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709234870547;1709234875000;1709234882000;11453;6000;-;268.7;0.3;368963584;4640055296;369045504;4666916864;27828034;4901373;26054;13441;0;5459968;10;10;/data/work/da/4eb5625e0b2b4a9098f2125bc55f6f;-;-
23;cpu08;c2/1cf2cd;nf-c21cf2cdbbaa6a3c23467db874795035;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE6_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE6_SE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709234870665;1709234874000;1709234881000;10335;6000;-;203.7;0.2;288268288;4571893760;301355008;4627087360;24403942;2423847;18287;6700;0;2686976;8;10;/data/work/c2/1cf2cdbbaa6a3c23467db874795035;-;-
27;cpu10;a0/d0cbc9;nf-a0d0cbc9cde1f8e22d7d9bbae9bcd6be;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE8_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE8_PE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709234870760;1709234878000;1709234884000;13240;5000;-;254.0;0.3;375005184;4640055296;375160832;4666916864;29733097;4888768;29868;13381;790528;5345280;19;8;/data/work/a0/d0cbc9cde1f8e22d7d9bbae9bcd6be;-;-
30;cpu10;07/33285e;nf-0733285ec1c10a0dc447667793118d81;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE9_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE9_PE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1709234870796;1709234878000;1709234884000;13204;5000;-;237.0;0.3;370860032;4640055296;376438784;4669079552;27705216;4901371;25827;13395;0;5365760;10;7;/data/work/07/33285ec1c10a0dc447667793118d81;-;-
31;cpu09;8b/d4029d;nf-8bd4029dde26c869c8cc37c2f2eeb7a2;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE9_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE9_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1709234870869;1709234881000;1709234885000;14131;4000;-;119.8;0.8;1041874944;1132630016;1041874944;1132634112;18707288;4951045;209;710;0;4972544;9;293;/data/work/8b/d4029dde26c869c8cc37c2f2eeb7a2;-;-
34;cpu08;9a/449115;nf-9a44911529053adc507d8155d8ce23a1;NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2 (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-5799ab18b5fc681e75923b2450abaa969907ec98:87fc08d11968d081f3e8a37131c1f1f6715b6542-0;6;21600000;-;53687091200;1;1709234875391;1709234881000;1709234882000;6609;1000;-;344.2;0.0;9703424;15892480;9703424;15896576;82595404;16758843;841;160;0;16781312;3;3;/data/work/9a/44911529053adc507d8155d8ce23a1;-;-
33;cpu09;ff/ee5636;nf-ffee56363720b774d0000be7d57cc0a1;NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-ac74a7f02cebcfcc07d8e8d1d750af9c83b4d45a:1744f68fe955578c63054b55309e05b41c37a80d-0;6;21600000;-;53687091200;1;1709234875425;1709234882000;1709234885000;9575;3000;-;527.4;0.1;107421696;1178845184;107421696;1267654656;26839394;17489483;1662;2422;0;2338816;284;22;/data/work/ff/ee56363720b774d0000be7d57cc0a1;-;-
