task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
7;cpu10;6b/5d742a;nf-6b5d742ace2e8a13bc091dcd75c5f042;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1709234296312;1709234297000;1709234301000;4688;2000;-;10.6;0.0;35946496;1159774208;35946496;1226661888;247506;58057;362;45;0;110592;61;63;/data/work/6b/5d742ace2e8a13bc091dcd75c5f042;-;-
5;cpu09;65/bb6203;nf-65bb620311f57acb086c2104ee105799;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709234296426;1709234301000;1709234301000;4574;30;-;71.1;0.0;3129344;4071424;3129344;4079616;99156;5089;261;18;0;16384;3;3;/data/work/65/bb620311f57acb086c2104ee105799;-;-
8;cpu10;fa/6314fd;nf-fa6314fdc2dbcfeb77b752a7fd1cce17;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1709234296460;1709234297000;1709234299000;2540;0;-;6.8;0.0;3244032;5632000;3244032;5636096;144125;4964;237;20;0;16384;2;1;/data/work/fa/6314fdc2dbcfeb77b752a7fd1cce17;-;-
2;cpu02;22/b30f4e;nf-22b30f4e611d3f15700946d013b375c0;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709234296498;1709234299000;1709234301000;4502;1160;-;67.8;0.0;7073792;11599872;7073792;11616256;96380491;110259110;7208;7089;0;55144448;1528;66;/data/work/22/b30f4e611d3f15700946d013b375c0;-;-
9;cpu09;c6/7a42e3;nf-c67a42e34707d0cd0d16063312e9cdc6;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1709234296530;1709234301000;1709234301000;4470;0;-;58.4;0.0;3321856;5632000;3321856;5636096;699455;4214;278;18;0;12288;2;3;/data/work/c6/7a42e34707d0cd0d16063312e9cdc6;-;-
6;cpu03;0d/3e6a96;nf-0d3e6a967617b0612081aadd79287bfe;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1709234296195;1709234303000;1709234304000;7805;0;-;61.5;0.0;2875392;11567104;2875392;11571200;92920;9825;157;413;0;24576;2;2;/data/work/0d/3e6a967617b0612081aadd79287bfe;-;-
1;cpu09;b6/321d2c;nf-b6321d2c4d6321e86d762b7dc41dcc3d;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709234296249;1709234301000;1709234301000;4751;106;-;76.6;0.0;3010560;4071424;3010560;4079616;10375063;18316751;1442;1206;0;9179136;2;2;/data/work/b6/321d2c4d6321e86d762b7dc41dcc3d;-;-
3;cpu03;f8/2264a5;nf-f82264a58b9aefb6ae99705a22899077;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1709234296353;1709234303000;1709234304000;7647;1000;-;118.4;0.0;3170304;5632000;3170304;5636096;1886602;8721308;594;3047;0;8810496;2;2;/data/work/f8/2264a58b9aefb6ae99705a22899077;-;-
4;cpu03;a9/370810;nf-a9370810398ceb30b27ea3416de979fb;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709234296389;1709234303000;1709234303000;6611;0;-;58.5;0.0;3248128;5632000;3248128;5636096;711905;1378;279;18;0;12288;2;2;/data/work/a9/370810398ceb30b27ea3416de979fb;-;-
10;cpu08;26/602836;nf-266028364f89e6cf2cb21710a8e95fe8;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1709234303768;1709234311000;1709234314000;10232;2000;-;80.6;0.0;69468160;16222814208;69558272;16222818304;18772922;17056;4424;169;0;90112;14;7;/data/work/26/6028364f89e6cf2cb21710a8e95fe8;-;-
