task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu10;74/2ede76;nf-742ede76547d75c3cfce49dad4867116;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1711725408019;1711725410000;1711725410000;1981;99;-;86.7;0.0;2879488;4071424;2879488;4079616;10375145;18316755;1441;1206;0;9179136;2;3;/data/work/74/2ede76547d75c3cfce49dad4867116;-;-
5;cpu10;5f/f9580a;nf-5ff9580aaab38024f56c0d20609571b3;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1711725408058;1711725410000;1711725412000;3942;2000;-;15.1;0.0;40792064;151281664;40792064;218169344;247762;58062;363;45;0;110592;18;9;/data/work/5f/f9580aaab38024f56c0d20609571b3;-;-
7;cpu10;a5/21c9c6;nf-a521c9c6d5d873d9fc2a3c37ae24ae10;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1711725408173;1711725410000;1711725410000;1827;0;-;64.0;0.0;3313664;5632000;3313664;5636096;712124;1383;280;18;0;12288;2;3;/data/work/a5/21c9c6d5d873d9fc2a3c37ae24ae10;-;-
9;cpu10;2a/b0e589;nf-2ab0e589510f3eb534ddc97373826865;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1711725408210;1711725410000;1711725410000;1790;0;-;60.1;0.0;3170304;5632000;3170304;5636096;144381;4970;238;20;0;16384;2;2;/data/work/2a/b0e589510f3eb534ddc97373826865;-;-
8;cpu10;74/c563d8;nf-74c563d812f93ff580f908a518de2d67;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1711725408245;1711725410000;1711725411000;2755;497;-;110.6;0.0;2940928;4071424;2940928;4079616;96380735;110259115;7210;7089;0;55144448;2;3;/data/work/74/c563d812f93ff580f908a518de2d67;-;-
6;cpu10;e7/2c34f8;nf-e72c34f89774145fe090bd78fd3b11af;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1711725408280;1711725410000;1711725411000;2720;1000;-;42.3;0.0;3174400;5632000;3174400;5636096;699664;4218;279;18;0;12288;2;3;/data/work/e7/2c34f89774145fe090bd78fd3b11af;-;-
2;cpu03;37/046aa5;nf-37046aa566f5d639e5d020d68e1bfd52;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1711725407965;1711725412000;1711725414000;6035;0;-;5.4;0.0;2973696;11567104;2973696;11571200;93057;9830;158;413;0;24576;2;2;/data/work/37/046aa566f5d639e5d020d68e1bfd52;-;-
3;cpu03;31/45ac25;nf-3145ac25c6d7b12a3f68573750193832;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1711725408098;1711725413000;1711725413000;4902;368;-;5.4;0.0;2920448;4071424;2920448;4079616;99287;5096;261;18;0;16384;2;2;/data/work/31/45ac25c6d7b12a3f68573750193832;-;-
4;cpu03;08/ff0cab;nf-08ff0cab56e24eef6b18946f40d5e4be;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1711725408135;1711725412000;1711725413000;4865;0;-;70.1;0.0;3264512;5632000;3264512;5636096;1886740;8721313;595;3048;0;8810496;2;1;/data/work/08/ff0cab56e24eef6b18946f40d5e4be;-;-
10;cpu10;62/e9c192;nf-62e9c1929d9c7944dc9902303bc7aa2d;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ;SAMPLE3_SE;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1711725416013;1711725418000;1711725419000;2987;1001;-;3.0;0.0;2965504;4071424;2965504;4079616;5892287;5804643;247;19;0;5812224;2;3;/data/work/62/e9c1929d9c7944dc9902303bc7aa2d;-;-
