task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;cpu08;fe/1bf150;nf-fe1bf150cbcd34ec7e94ef68c6a17f01;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1711729423004;1711729429000;1711729429000;5996;40;-;62.3;0.0;2928640;4071424;2928640;4079616;99239;5093;261;18;0;16384;2;3;/data/work/fe/1bf150cbcd34ec7e94ef68c6a17f01;-;-
8;cpu08;7b/f8a450;nf-7bf8a45047edd7f64265c85ba93e89fa;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1711729423079;1711729429000;1711729430000;6921;927;-;108.2;0.0;2969600;4071424;2969600;4079616;96380655;110259116;7209;7089;0;55144448;4;3;/data/work/7b/f8a45047edd7f64265c85ba93e89fa;-;-
3;cpu08;10/753ae0;nf-10753ae033eada5a6e75c0ef17c70743;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1711729423117;1711729429000;1711729429000;5883;0;-;56.1;0.0;3227648;5632000;3227648;5636096;144299;4970;238;20;0;16384;2;3;/data/work/10/753ae033eada5a6e75c0ef17c70743;-;-
2;cpu08;71/511527;nf-71511527226786ed323a8f97f73e3f22;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1711729423154;1711729429000;1711729429000;5846;0;-;86.5;0.0;3174400;5632000;3174400;5636096;712042;1383;280;18;0;12288;2;2;/data/work/71/511527226786ed323a8f97f73e3f22;-;-
5;cpu08;f0/bdc8fd;nf-f0bdc8fd9dd1ce3ffb22ece7410cc694;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1711729423191;1711729429000;1711729430000;6809;1000;-;125.5;0.0;3219456;5632000;3219456;5636096;1886738;8721313;595;3047;0;8810496;2;3;/data/work/f0/bdc8fd9dd1ce3ffb22ece7410cc694;-;-
6;cpu08;11/c78e99;nf-11c78e99195c4d8fe763ae3f8fa710ae;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1711729423229;1711729429000;1711729430000;6771;145;-;91.2;0.0;3072000;4071424;3072000;4079616;10375066;18316756;1440;1206;0;9179136;2;2;/data/work/11/c78e99195c4d8fe763ae3f8fa710ae;-;-
7;cpu02;ef/83fa12;nf-ef83fa12d2cf027cd309bd0decdd1d8b;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1711729422955;1711729435000;1711729436000;13045;1000;-;18.3;0.0;41586688;151281664;41586688;218169344;247711;58062;363;45;0;110592;18;18;/data/work/ef/83fa12d2cf027cd309bd0decdd1d8b;-;-
1;cpu02;02/29dbd4;nf-0229dbd42d9fe0d8e49f1ed385f15388;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1711729423038;1711729435000;1711729435000;11962;0;-;69.8;0.0;3211264;5632000;3211264;5636096;699581;4218;279;18;0;12288;2;1;/data/work/02/29dbd42d9fe0d8e49f1ed385f15388;-;-
9;cpu02;aa/9c3951;nf-aa9c39517142fd53f4c8fe81ea003244;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1711729423267;1711729435000;1711729436000;12733;0;-;21.7;0.0;2891776;11567104;2891776;11571200;93056;9830;158;413;0;24576;2;1;/data/work/aa/9c39517142fd53f4c8fe81ea003244;-;-
14;cpu03;85/8dec3b;nf-858dec3b723bc1c2dbf6f37bf6d39d1a;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ;SAMPLE3_SE;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1711729434735;1711729438000;1711729438000;3265;50;-;67.0;0.0;2945024;4071424;2945024;4079616;5892259;5804648;247;19;0;5812224;2;2;/data/work/85/8dec3b723bc1c2dbf6f37bf6d39d1a;-;-
10;cpu08;84/488ac6;nf-84488ac6d427cca69ba92d3a7de1d939;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1711729434328;1711729439000;1711729441000;6672;2000;-;79.7;0.0;69750784;16154652672;69840896;16221605888;18751722;17060;4428;169;0;90112;14;10;/data/work/84/488ac6d427cca69ba92d3a7de1d939;-;-
