task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
5;cpu03;d1/97c4c4;nf-d197c4c4fb468d2cd0e956f8d89d77dc;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1709236325323;1709236326000;1709236328000;2677;2000;-;14.4;0.0;35586048;1159774208;35586048;1226661888;247544;58057;362;45;0;110592;67;73;/data/work/d1/97c4c4fb468d2cd0e956f8d89d77dc;-;-
1;cpu10;c9/58a675;nf-c958a675d1254f39bfd18d7a68e1ca03;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709236325371;1709236326000;1709236327000;1629;794;-;69.0;0.0;2998272;4071424;2998272;4079616;96380480;110259109;7210;7089;0;55144448;2;0;/data/work/c9/58a675d1254f39bfd18d7a68e1ca03;-;-
8;cpu10;8f/b2ec08;nf-8fb2ec0842b257bae1c719257c872462;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1709236325537;1709236326000;1709236326000;463;0;-;11.1;0.0;3207168;5632000;3207168;5636096;144127;4965;237;20;0;16384;2;0;/data/work/8f/b2ec0842b257bae1c719257c872462;-;-
3;cpu02;b2/519a15;nf-b2519a154bb5e0f585290d49f9a610ea;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709236325476;1709236331000;1709236331000;5524;94;-;19.5;0.0;2981888;4071424;2981888;4079616;99079;5089;261;18;0;16384;2;3;/data/work/b2/519a154bb5e0f585290d49f9a610ea;-;-
4;cpu02;a3/3e27cf;nf-a33e27cf28e8a4598bcf97391fcb7e16;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1709236325567;1709236331000;1709236331000;5433;0;-;54.2;0.0;3198976;5632000;3198976;5636096;699421;4214;278;18;258048;12288;2;0;/data/work/a3/3e27cf28e8a4598bcf97391fcb7e16;-;-
6;cpu08;3d/740ec4;nf-3d740ec43200c23adaa06c804a95fede;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709236325406;1709236333000;1709236334000;8594;1000;-;50.9;0.0;3207168;5632000;3207168;5636096;711901;1379;279;18;389120;12288;2;2;/data/work/3d/740ec43200c23adaa06c804a95fede;-;-
7;cpu08;d8/c38475;nf-d8c38475335bc3bb6d0633a15bb4e8cf;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709236325506;1709236333000;1709236334000;8494;202;-;62.7;0.0;3002368;4071424;3002368;4079616;10374926;18316752;1442;1206;0;9179136;2;0;/data/work/d8/c38475335bc3bb6d0633a15bb4e8cf;-;-
2;cpu08;45/04caa0;nf-4504caa07909bb02288ca0f450762409;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1709236325595;1709236333000;1709236335000;9405;0;-;41.0;0.0;2985984;11567104;2985984;11571200;92916;9826;157;413;0;24576;2;0;/data/work/45/04caa07909bb02288ca0f450762409;-;-
9;cpu09;0f/60aa6f;nf-0f60aa6f400ffb19fc2d6aa448a53e70;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1709236325442;1709236336000;1709236341000;15558;4000;-;13.3;0.0;15630336;20701184;15630336;20705280;1886610;8721308;593;3047;65536;8810496;16;11;/data/work/0f/60aa6f400ffb19fc2d6aa448a53e70;-;-
10;cpu10;34/c9f30d;nf-34c9f30de743666385a610501393ed7a;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1709236390902;1709236391000;1709236393000;2098;2000;-;63.4;0.0;69832704;16222814208;69922816;16222818304;18772137;17055;4360;169;0;90112;14;5;/data/work/34/c9f30de743666385a610501393ed7a;-;-
