task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
9;cpu09;d6/d353a7;nf-d6d353a744e2d82163a3ae96825ac29b;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1709240899158;1709240903000;1709240903000;3842;0;-;52.1;0.0;3338240;5632000;3338240;5636096;699459;4214;278;18;782336;12288;2;0;/data/work/d6/d353a744e2d82163a3ae96825ac29b;-;-
8;cpu09;a8/8f6f8e;nf-a88f6f8e8daba150d86dc3536565b204;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709240899211;1709240903000;1709240903000;3789;46;-;36.2;0.0;3010560;4071424;3010560;4079616;99174;5101;261;18;24576;16384;2;2;/data/work/a8/8f6f8e8daba150d86dc3536565b204;-;-
1;cpu08;7e/3f98db;nf-7e3f98db5a09f0c3255f8592e876d572;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709240899361;1709240903000;1709240903000;3639;145;-;84.7;0.0;2985984;4071424;2985984;4079616;10374932;18316752;1442;1206;0;9179136;2;2;/data/work/7e/3f98db5a09f0c3255f8592e876d572;-;-
7;cpu02;8a/d0bb14;nf-8ad0bb14b29f116882b7c9ff347bd6aa;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1709240899397;1709240900000;1709240902000;2603;1000;-;19.3;0.0;40837120;151281664;40837120;218169344;247548;58058;362;45;0;110592;18;7;/data/work/8a/d0bb14b29f116882b7c9ff347bd6aa;-;-
6;cpu10;08/18dbdd;nf-0818dbddc7ac5eacbfa4059aaed4e903;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1709240899435;1709240900000;1709240901000;1565;1000;-;60.3;0.0;3186688;5632000;3186688;5636096;1886565;8721307;592;3046;36864;8810496;2;0;/data/work/08/18dbddc7ac5eacbfa4059aaed4e903;-;-
3;cpu03;ae/aa1b12;nf-aeaa1b12880fcf9a6667cb59db29eed1;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709240899473;1709240904000;1709240905000;5527;1000;-;43.9;0.0;3276800;5632000;3276800;5636096;711911;1378;279;18;1081344;12288;2;2;/data/work/ae/aa1b12880fcf9a6667cb59db29eed1;-;-
5;cpu02;92/6217ae;nf-926217ae0c38bbbf49d0172da7568b6f;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1709240899507;1709240901000;1709240902000;2493;0;-;4.8;0.0;3186688;5632000;3186688;5636096;144137;4965;237;20;0;16384;2;2;/data/work/92/6217ae0c38bbbf49d0172da7568b6f;-;-
4;cpu03;c3/d81e51;nf-c3d81e5144129a5d6b0ed262b1875d49;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1709240899252;1709240904000;1709240905000;5748;0;-;20.4;0.0;2887680;11567104;2887680;11571200;92927;9825;157;413;0;24576;2;0;/data/work/c3/d81e5144129a5d6b0ed262b1875d49;-;-
2;cpu08;dd/9ce519;nf-dd9ce519dd295247143c8b14dd906c09;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709240899323;1709240903000;1709240904000;4677;936;-;105.2;0.0;3035136;4071424;3035136;4079616;96380519;110259111;7211;7089;0;55144448;2;0;/data/work/dd/9ce519dd295247143c8b14dd906c09;-;-
10;cpu10;b1/d9b2e8;nf-b1d9b2e81fa44b850964677acd071343;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1709240905051;1709240905000;1709240907000;1949;1000;-;62.4;0.0;69808128;16222814208;69898240;16222818304;18772079;17055;4354;169;81920;90112;17;6;/data/work/b1/d9b2e81fa44b850964677acd071343;-;-
