2024-02-29 18:55:50.588  INFO 1 --- [/10.233.0.1/...] cws.scheduler.client.KubernetesClient    : Pod has released its resources: nf-1ecaa81c94c5a91269637c34ebcf37ae
2024-02-29 18:55:50.589  INFO 1 --- [       Thread-3] cws.scheduler.scheduler.Scheduler        : ------------------------------------
Node: cpu10 Requirements(cpu=19.715, ram=56804005888)
Node: cpu09 Requirements(cpu=13.715, ram=3116926976)
Node: cpu08 Requirements(cpu=17.615, ram=13317433344)
Node: cpu07 Requirements(cpu=31.060, ram=134028341248)
Node: cpu06 Requirements(cpu=31.090, ram=134072025088)
Node: cpu03 Requirements(cpu=19.715, ram=26739206144)
Node: cpu02 Requirements(cpu=13.685, ram=3053029376)
Node: cpu01 Requirements(cpu=29.715, ram=129812294144)
------------------------------------
2024-02-29 18:55:50.589  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-0112d6ebdb92640b8f731a8aaaed18da Requested Resources: Requirements(cpu=6, ram=53687091200)
2024-02-29 18:55:50.589  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : --> cpu10
2024-02-29 18:55:50.589  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-25b7742eeeb661aef09718e3e3890b6a Requested Resources: Requirements(cpu=6, ram=53687091200)
2024-02-29 18:55:50.589  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-7fbbe4598feb104890d965ba888c38c3 Requested Resources: Requirements(cpu=6, ram=53687091200)
2024-02-29 18:55:50.590  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-e29c0add55eb1c873fba4cb3444daa24 Requested Resources: Requirements(cpu=6, ram=53687091200)
2024-02-29 18:55:50.590  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-4b8b7e7bf473adca38672d23af167a53 Requested Resources: Requirements(cpu=6, ram=53687091200)
2024-02-29 18:55:50.590  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-d1a2be142fa4622da16b65197b7eae67 Requested Resources: Requirements(cpu=6, ram=53687091200)
2024-02-29 18:55:50.591  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-a82a83cd999276cf99043a32835b7236 Requested Resources: Requirements(cpu=6, ram=53687091200)
2024-02-29 18:55:50.591  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-5e9280fa5f7ee9d816e8b873a96d998f Requested Resources: Requirements(cpu=6, ram=53687091200)
