task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;cpu10;51/108ba3;nf-51108ba3715b2d9177a4af5cefcfaa1e;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1709235379965;1709235381000;1709235382000;2035;0;-;60.8;0.0;2854912;11567104;2854912;11571200;92883;9825;157;413;24576;24576;2;1;/data/work/51/108ba3715b2d9177a4af5cefcfaa1e;-;-
4;cpu02;68/631cc5;nf-68631cc58b82b42d7e972799dacd63d6;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1709235380020;1709235383000;1709235385000;4980;1000;-;8.4;0.0;3276800;5632000;3276800;5636096;699418;4213;278;18;0;12288;2;3;/data/work/68/631cc58b82b42d7e972799dacd63d6;-;-
1;cpu10;9a/b98d69;nf-9ab98d6910cc61f59bfa5c68d154ea96;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1709235380102;1709235381000;1709235381000;898;0;-;66.4;0.0;3178496;5632000;3178496;5636096;711869;1378;279;18;892928;12288;2;2;/data/work/9a/b98d6910cc61f59bfa5c68d154ea96;-;-
5;cpu09;ac/5ef944;nf-ac5ef94416e6c665bfee1ae7039ee5f3;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709235380179;1709235385000;1709235385000;4821;188;-;15.2;0.0;2973696;4071424;2973696;4079616;99156;5089;261;18;0;16384;2;1;/data/work/ac/5ef94416e6c665bfee1ae7039ee5f3;-;-
3;cpu09;d7/7f967c;nf-d77f967cd663eb067694b2f0dcf20af1;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1709235380247;1709235385000;1709235385000;4753;0;-;116.4;0.0;3330048;5632000;3330048;5636096;1886611;8721309;593;3046;16384;8810496;2;4;/data/work/d7/7f967cd663eb067694b2f0dcf20af1;-;-
8;cpu10;90/e71c58;nf-90e71c5876ec8d15841ec804cf5ccaa0;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709235380289;1709235381000;1709235381000;711;458;-;107.8;0.0;2957312;4071424;2957312;4079616;96380482;110259110;7210;7089;0;55144448;2;2;/data/work/90/e71c5876ec8d15841ec804cf5ccaa0;-;-
9;cpu03;28/f0232f;nf-28f0232f6a98675ebcbda4abcef9ca41;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1709235380063;1709235386000;1709235386000;5937;102;-;88.4;0.0;3031040;4071424;3031040;4079616;10375055;18316751;1442;1206;0;9179136;3;3;/data/work/28/f0232f6a98675ebcbda4abcef9ca41;-;-
7;cpu03;e7/ccc8f0;nf-e7ccc8f0bc0f2ce058a0a8c7b258c7ab;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1709235380142;1709235386000;1709235386000;5858;0;-;70.7;0.0;3268608;5632000;3268608;5636096;144163;4965;237;20;0;16384;2;1;/data/work/e7/ccc8f0bc0f2ce058a0a8c7b258c7ab;-;-
6;cpu03;ae/7d86b6;nf-ae7d86b656c59c93b143e57f6d3460db;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1709235380210;1709235386000;1709235388000;7790;2000;-;19.1;0.0;41668608;151281664;41668608;218169344;247544;58055;362;45;0;110592;18;16;/data/work/ae/7d86b656c59c93b143e57f6d3460db;-;-
14;cpu09;61/cb7baa;nf-61cb7baa0773f9dcb2052484a8eb63f9;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1709235386862;1709235388000;1709235390000;3138;2000;-;108.1;0.0;51736576;58613760;51736576;58617856;9866593;2508297;193;419;311296;2523136;16;107;/data/work/61/cb7baa0773f9dcb2052484a8eb63f9;-;-
