task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
9;cpu03;dd/21b46c;nf-dd21b46cdb407aa3a30779afc1752162;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1711730637914;1711730645000;1711730646000;8086;0;-;77.8;0.0;3325952;5632000;3325952;5636096;712051;1384;280;18;0;12288;2;3;/data/work/dd/21b46cdb407aa3a30779afc1752162;-;-
2;cpu03;84/1b0e3c;nf-841b0e3ce4a0bc8e71a84763c71e4d64;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1711730638042;1711730646000;1711730646000;7958;761;-;101.9;0.0;2961408;4071424;2961408;4079616;96380794;110259119;7208;7089;0;55144448;2;3;/data/work/84/1b0e3ce4a0bc8e71a84763c71e4d64;-;-
6;cpu03;a0/d01afb;nf-a0d01afb7b9191a961af72cf32c5a61a;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1711730638074;1711730646000;1711730646000;7926;82;-;22.1;0.0;2994176;4071424;2994176;4079616;99296;5097;261;18;0;16384;2;2;/data/work/a0/d01afb7b9191a961af72cf32c5a61a;-;-
4;cpu03;3e/331b45;nf-3e331b4578edab8e684f4f5ee234ebad;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1711730638110;1711730646000;1711730646000;7890;0;-;112.3;0.0;3194880;5632000;3194880;5636096;1886748;8721314;595;3048;0;8810496;2;4;/data/work/3e/331b4578edab8e684f4f5ee234ebad;-;-
7;cpu03;e3/ebf28e;nf-e3ebf28e0dfafbadabc73b49f8931852;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1711730638181;1711730645000;1711730646000;7819;168;-;56.6;0.0;3137536;4071424;3137536;4079616;10375205;18316760;1442;1206;0;9179136;2;2;/data/work/e3/ebf28e0dfafbadabc73b49f8931852;-;-
5;cpu03;48/d127b8;nf-48d127b836f7406de76805a97190efef;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1711730638216;1711730646000;1711730646000;7784;0;-;38.8;0.0;3194880;5632000;3194880;5636096;144309;4971;238;20;0;16384;1;2;/data/work/48/d127b836f7406de76805a97190efef;-;-
1;cpu02;f4/a20ce9;nf-f4a20ce9c7b17e5a6088f9080dddc945;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1711730637964;1711730650000;1711730651000;13036;0;-;19.6;0.0;3211264;5632000;3211264;5636096;699582;4218;279;18;0;12288;2;1;/data/work/f4/a20ce9c7b17e5a6088f9080dddc945;-;-
3;cpu02;4f/8f05bf;nf-4f8f05bfd3f516e72c66f47dd583240f;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1711730638006;1711730650000;1711730652000;13994;0;-;9.2;0.0;2895872;11567104;2895872;11571200;93054;9829;158;413;0;24576;2;2;/data/work/4f/8f05bfd3f516e72c66f47dd583240f;-;-
8;cpu02;bc/cce12d;nf-bccce12dee0890837558dd3210f52c95;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1711730638146;1711730650000;1711730652000;13854;1000;-;15.2;0.0;36032512;1159774208;36032512;1226661888;247711;58061;363;45;0;110592;61;70;/data/work/bc/cce12dee0890837558dd3210f52c95;-;-
23;cpu10;59/e1bbc6;nf-59e1bbc6d5dd918ddb1632d93d1db38e;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE6_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE6_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1711730649463;1711730651000;1711730653000;3537;2000;-;108.9;0.5;692383744;1138339840;692383744;1138343936;13502875;3290750;196;421;0;3305472;8;196;/data/work/59/e1bbc6d5dd918ddb1632d93d1db38e;-;-
31;cpu02;2e/793570;nf-2e7935702d41a5956707de59d5f7bd78;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1711730649707;1711730651000;1711730653000;3293;2000;-;67.2;0.0;69881856;16154652672;69881856;16221605888;18751576;17060;4414;169;0;118784;14;5;/data/work/2e/7935702d41a5956707de59d5f7bd78;-;-
10;cpu03;a3/1d7c8c;nf-a31d7c8c8d819068f36fb6318d9a3edd;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ;SAMPLE3_SE;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1711730649153;1711730655000;1711730655000;5847;37;-;68.6;0.0;2973696;4071424;2973696;4079616;5892260;5804648;247;19;0;5812224;2;3;/data/work/a3/1d7c8c8d819068f36fb6318d9a3edd;-;-
18;cpu10;bb/6b6418;nf-bb6b6418bd937d3cf7d00b6100f755a6;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE2_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE2_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1711730649222;1711730651000;1711730654000;4778;3000;-;116.5;0.7;960028672;1132630016;960028672;1132634112;18707497;4951049;211;710;0;4972544;11;297;/data/work/bb/6b6418bd937d3cf7d00b6100f755a6;-;-
22;cpu10;1a/2f52e0;nf-1a2f52e0af57443d18e95f53a520adb1;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE5_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE5_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1711730649369;1711730651000;1711730655000;5631;4000;-;105.6;0.0;52330496;58884096;52330496;58888192;18707496;4951049;210;710;0;4972544;10;266;/data/work/1a/2f52e0af57443d18e95f53a520adb1;-;-
26;cpu03;8b/dbe4a8;nf-8bdbe4a872e67ea9483ad0ad08902c92;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE7_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE7_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1711730649578;1711730655000;1711730658000;8422;3000;-;102.7;0.9;1178537984;1654652928;1178554368;1746944000;9866716;2508288;196;419;0;2523136;19;262;/data/work/8b/dbe4a872e67ea9483ad0ad08902c92;-;-
33;cpu10;a5/38e036;nf-a538e0363ccc28c53b4673186fd0a72d;NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2;SAMPLE6_SE;NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2 (SAMPLE6_SE);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-5799ab18b5fc681e75923b2450abaa969907ec98:87fc08d11968d081f3e8a37131c1f1f6715b6542-0;6;21600000;-;53687091200;1;1711730655125;1711730657000;1711730658000;2875;1000;-;322.3;0.0;3276800;5632000;3276800;5636096;90289756;21705828;990;191;0;21729280;2;0;/data/work/a5/38e0363ccc28c53b4673186fd0a72d;-;-
14;cpu03;e0/f6fd2c;nf-e0f6fd2cf8314f17d2334703b5001bb8;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1711730649057;1711730655000;1711730659000;9943;4000;-;107.7;0.0;51580928;58613760;51580928;58617856;9866729;2508302;195;419;0;2523136;8;190;/data/work/e0/f6fd2cf8314f17d2334703b5001bb8;-;-
11;cpu02;70/301b0b;nf-70301b0b7b93a18be4eafc3eb710cc0d;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE10_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE10_SE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1711730649089;1711730654000;1711730660000;10911;5000;-;199.2;0.2;294191104;4571893760;295006208;4627087360;24403107;2423896;18263;6723;0;2691072;8;2;/data/work/70/301b0b7b93a18be4eafc3eb710cc0d;-;-
12;cpu03;38/e01cd9;nf-38e01cd99233d967bd88224c41f24b13;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE10_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE10_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1711730649122;1711730655000;1711730659000;9878;4000;-;104.9;0.0;58363904;64593920;58363904;64598016;13502813;3290765;195;421;0;3305472;14;271;/data/work/38/e01cd99233d967bd88224c41f24b13;-;-
24;cpu02;13/8d0e57;nf-138d0e57685f30899df09c8247374b42;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE6_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE6_SE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1711730649430;1711730655000;1711730661000;11570;5000;-;203.8;0.2;293126144;4571893760;294203392;4627087360;24403543;2423850;18283;6700;0;2674688;8;6;/data/work/13/8d0e57685f30899df09c8247374b42;-;-
30;cpu08;93/c58bc0;nf-93c58bc03929a8ad72eea46dca32a8b8;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE9_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE9_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1711730649674;1711730656000;1711730663000;13326;7000;-;117.0;0.5;648347648;1132630016;648347648;1132634112;18707412;4951049;210;710;0;4972544;18;597;/data/work/93/c58bc03929a8ad72eea46dca32a8b8;-;-
32;cpu10;cc/fd63bf;nf-ccfd63bf9ab743165d56400d92be905a;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_TRIM;SAMPLE6_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_TRIM (SAMPLE6_SE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1711730655065;1711730657000;1711730662000;6935;4000;-;191.0;0.2;323919872;4571893760;325709824;4600918016;23983559;2340274;17423;6545;0;2637824;8;5;/data/work/cc/fd63bf9ab743165d56400d92be905a;-;-
34;cpu02;53/2fa3b0;nf-532fa3b03e8116f700f3a2261233dfb2;NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN;SAMPLE6_SE;NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE6_SE);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-ac74a7f02cebcfcc07d8e8d1d750af9c83b4d45a:1744f68fe955578c63054b55309e05b41c37a80d-0;6;21600000;-;53687091200;1;1711730655096;1711730656000;1711730662000;6904;6000;-;537.8;0.1;108466176;1178845184;108466176;1266073600;31958507;22691938;1965;2960;0;3203072;494;15;/data/work/53/2fa3b03e8116f700f3a2261233dfb2;-;-
